,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.02941,-122.06286,Sweetness Climb,953,253,Climb,UCSC
1,37.02936,-122.06282,Sweetness Climb,953,253,Climb,UCSC
2,37.02932,-122.06283,Sweetness Climb,953,253,Climb,UCSC
3,37.02932,-122.06287,Sweetness Climb,953,253,Climb,UCSC
4,37.02921,-122.06297,Sweetness Climb,953,253,Climb,UCSC
5,37.02917,-122.06309,Sweetness Climb,953,253,Climb,UCSC
6,37.0291,-122.06314,Sweetness Climb,953,253,Climb,UCSC
7,37.02909,-122.06316,Sweetness Climb,953,253,Climb,UCSC
8,37.02906,-122.06317,Sweetness Climb,953,253,Climb,UCSC
9,37.02903,-122.06321,Sweetness Climb,953,253,Climb,UCSC
10,37.02901,-122.06321,Sweetness Climb,953,253,Climb,UCSC
11,37.02903,-122.06322,Sweetness Climb,953,253,Climb,UCSC
12,37.02897,-122.06322,Sweetness Climb,953,253,Climb,UCSC
13,37.02896,-122.0632,Sweetness Climb,953,253,Climb,UCSC
14,37.02893,-122.06321,Sweetness Climb,953,253,Climb,UCSC
15,37.02891,-122.0633,Sweetness Climb,953,253,Climb,UCSC
16,37.02886,-122.06335,Sweetness Climb,953,253,Climb,UCSC
17,37.02884,-122.06335,Sweetness Climb,953,253,Climb,UCSC
18,37.02881,-122.06343,Sweetness Climb,953,253,Climb,UCSC
19,37.02877,-122.06348,Sweetness Climb,953,253,Climb,UCSC
20,37.02872,-122.0635,Sweetness Climb,953,253,Climb,UCSC
21,37.02865,-122.06351,Sweetness Climb,953,253,Climb,UCSC
22,37.02853,-122.06358,Sweetness Climb,953,253,Climb,UCSC
23,37.02843,-122.0636,Sweetness Climb,953,253,Climb,UCSC
24,37.02834,-122.06365,Sweetness Climb,953,253,Climb,UCSC
25,37.02828,-122.06374,Sweetness Climb,953,253,Climb,UCSC
26,37.02824,-122.06385,Sweetness Climb,953,253,Climb,UCSC
27,37.02823,-122.06403,Sweetness Climb,953,253,Climb,UCSC
28,37.02827,-122.06412,Sweetness Climb,953,253,Climb,UCSC
29,37.02826,-122.06424,Sweetness Climb,953,253,Climb,UCSC
30,37.02829,-122.06432,Sweetness Climb,953,253,Climb,UCSC
31,37.02827,-122.06431,Sweetness Climb,953,253,Climb,UCSC
32,37.02818,-122.06445,Sweetness Climb,953,253,Climb,UCSC
33,37.02811,-122.06446,Sweetness Climb,953,253,Climb,UCSC
34,37.02811,-122.06449,Sweetness Climb,953,253,Climb,UCSC
35,37.02809,-122.0645,Sweetness Climb,953,253,Climb,UCSC
36,37.028,-122.06451,Sweetness Climb,953,253,Climb,UCSC
37,37.02794,-122.0645,Sweetness Climb,953,253,Climb,UCSC
38,37.02791,-122.06445,Sweetness Climb,953,253,Climb,UCSC
39,37.02783,-122.06439,Sweetness Climb,953,253,Climb,UCSC
40,37.0277,-122.06442,Sweetness Climb,953,253,Climb,UCSC
41,37.02755,-122.0644,Sweetness Climb,953,253,Climb,UCSC
42,37.0275,-122.06436,Sweetness Climb,953,253,Climb,UCSC
43,37.02748,-122.06422,Sweetness Climb,953,253,Climb,UCSC
44,37.02736,-122.0641,Sweetness Climb,953,253,Climb,UCSC
45,37.02725,-122.06402,Sweetness Climb,953,253,Climb,UCSC
46,37.0272,-122.06401,Sweetness Climb,953,253,Climb,UCSC
47,37.02713,-122.06402,Sweetness Climb,953,253,Climb,UCSC
48,37.02708,-122.064,Sweetness Climb,953,253,Climb,UCSC
49,37.02704,-122.06396,Sweetness Climb,953,253,Climb,UCSC
50,37.02706,-122.06389,Sweetness Climb,953,253,Climb,UCSC
51,37.02703,-122.06387,Sweetness Climb,953,253,Climb,UCSC
52,37.027,-122.06381,Sweetness Climb,953,253,Climb,UCSC
53,37.02695,-122.06378,Sweetness Climb,953,253,Climb,UCSC
54,37.0269,-122.0637,Sweetness Climb,953,253,Climb,UCSC
55,37.02677,-122.06367,Sweetness Climb,953,253,Climb,UCSC
56,37.02671,-122.06372,Sweetness Climb,953,253,Climb,UCSC
57,37.02672,-122.06375,Sweetness Climb,953,253,Climb,UCSC
58,37.0267,-122.06378,Sweetness Climb,953,253,Climb,UCSC
59,37.02669,-122.0639,Sweetness Climb,953,253,Climb,UCSC
60,37.02675,-122.06399,Sweetness Climb,953,253,Climb,UCSC
61,37.02681,-122.06415,Sweetness Climb,953,253,Climb,UCSC
62,37.02686,-122.06421,Sweetness Climb,953,253,Climb,UCSC
63,37.02709,-122.06423,Sweetness Climb,953,253,Climb,UCSC
64,37.02713,-122.06428,Sweetness Climb,953,253,Climb,UCSC
65,37.02713,-122.06436,Sweetness Climb,953,253,Climb,UCSC
66,37.02711,-122.0644,Sweetness Climb,953,253,Climb,UCSC
67,37.02713,-122.06445,Sweetness Climb,953,253,Climb,UCSC
68,37.02713,-122.06458,Sweetness Climb,953,253,Climb,UCSC
69,37.0271,-122.06464,Sweetness Climb,953,253,Climb,UCSC
70,37.02709,-122.06465,Sweetness Climb,953,253,Climb,UCSC
71,37.02702,-122.06484,Sweetness Climb,953,253,Climb,UCSC
72,37.02697,-122.0649,Sweetness Climb,953,253,Climb,UCSC
73,37.02688,-122.06495,Sweetness Climb,953,253,Climb,UCSC
74,37.02683,-122.06494,Sweetness Climb,953,253,Climb,UCSC
75,37.02682,-122.06484,Sweetness Climb,953,253,Climb,UCSC
76,37.02676,-122.06466,Sweetness Climb,953,253,Climb,UCSC
77,37.02675,-122.06456,Sweetness Climb,953,253,Climb,UCSC
78,37.02672,-122.06449,Sweetness Climb,953,253,Climb,UCSC
79,37.02668,-122.06448,Sweetness Climb,953,253,Climb,UCSC
80,37.02657,-122.06454,Sweetness Climb,953,253,Climb,UCSC
81,37.02656,-122.06456,Sweetness Climb,953,253,Climb,UCSC
82,37.02658,-122.06463,Sweetness Climb,953,253,Climb,UCSC
83,37.02657,-122.06465,Sweetness Climb,953,253,Climb,UCSC
84,37.0266,-122.0648,Sweetness Climb,953,253,Climb,UCSC
85,37.02655,-122.06486,Sweetness Climb,953,253,Climb,UCSC
86,37.0265,-122.06488,Sweetness Climb,953,253,Climb,UCSC
87,37.02647,-122.06484,Sweetness Climb,953,253,Climb,UCSC
88,37.02648,-122.06487,Sweetness Climb,953,253,Climb,UCSC
89,37.02645,-122.06484,Sweetness Climb,953,253,Climb,UCSC
90,37.02648,-122.06483,Sweetness Climb,953,253,Climb,UCSC
91,37.02647,-122.06481,Sweetness Climb,953,253,Climb,UCSC
92,37.02637,-122.06476,Sweetness Climb,953,253,Climb,UCSC
93,37.02634,-122.06471,Sweetness Climb,953,253,Climb,UCSC
94,37.02632,-122.06471,Sweetness Climb,953,253,Climb,UCSC
95,37.02631,-122.06468,Sweetness Climb,953,253,Climb,UCSC
96,37.02622,-122.06463,Sweetness Climb,953,253,Climb,UCSC
97,37.02619,-122.06458,Sweetness Climb,953,253,Climb,UCSC
98,37.02616,-122.06462,Sweetness Climb,953,253,Climb,UCSC
99,37.02611,-122.06462,Sweetness Climb,953,253,Climb,UCSC
100,37.02609,-122.06476,Sweetness Climb,953,253,Climb,UCSC
101,37.02603,-122.06492,Sweetness Climb,953,253,Climb,UCSC
102,37.02597,-122.06497,Sweetness Climb,953,253,Climb,UCSC
103,37.02589,-122.06497,Sweetness Climb,953,253,Climb,UCSC
104,37.02587,-122.06501,Sweetness Climb,953,253,Climb,UCSC
105,37.02583,-122.06505,Sweetness Climb,953,253,Climb,UCSC
106,37.02573,-122.06507,Sweetness Climb,953,253,Climb,UCSC
107,37.0257,-122.06509,Sweetness Climb,953,253,Climb,UCSC
108,37.02567,-122.06516,Sweetness Climb,953,253,Climb,UCSC
109,37.02565,-122.06517,Sweetness Climb,953,253,Climb,UCSC
110,37.02564,-122.06521,Sweetness Climb,953,253,Climb,UCSC
111,37.02559,-122.06531,Sweetness Climb,953,253,Climb,UCSC
112,37.02549,-122.0653,Sweetness Climb,953,253,Climb,UCSC
113,37.02542,-122.06535,Sweetness Climb,953,253,Climb,UCSC
114,37.02542,-122.06533,Sweetness Climb,953,253,Climb,UCSC
115,37.0254,-122.06532,Sweetness Climb,953,253,Climb,UCSC
116,37.0254,-122.06529,Sweetness Climb,953,253,Climb,UCSC
117,37.02537,-122.06523,Sweetness Climb,953,253,Climb,UCSC
118,37.02535,-122.06523,Sweetness Climb,953,253,Climb,UCSC
119,37.02531,-122.06518,Sweetness Climb,953,253,Climb,UCSC
