,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00634,-122.05476,Tourist Trap,56,0,DH,UCSC
1,37.00653,-122.05483,Tourist Trap,56,0,DH,UCSC
2,37.00665,-122.05498,Tourist Trap,56,0,DH,UCSC
3,37.00669,-122.05498,Tourist Trap,56,0,DH,UCSC
4,37.00675,-122.05495,Tourist Trap,56,0,DH,UCSC
5,37.00673,-122.05497,Tourist Trap,56,0,DH,UCSC
6,37.00673,-122.05501,Tourist Trap,56,0,DH,UCSC
7,37.00679,-122.05502,Tourist Trap,56,0,DH,UCSC
8,37.00684,-122.05505,Tourist Trap,56,0,DH,UCSC
9,37.00686,-122.05508,Tourist Trap,56,0,DH,UCSC
10,37.00687,-122.05515,Tourist Trap,56,0,DH,UCSC
11,37.00695,-122.05531,Tourist Trap,56,0,DH,UCSC
12,37.00705,-122.05541,Tourist Trap,56,0,DH,UCSC
13,37.0071,-122.05543,Tourist Trap,56,0,DH,UCSC
14,37.00713,-122.05543,Tourist Trap,56,0,DH,UCSC
15,37.00711,-122.05541,Tourist Trap,56,0,DH,UCSC
16,37.0071,-122.05539,Tourist Trap,56,0,DH,UCSC
17,37.00713,-122.0553,Tourist Trap,56,0,DH,UCSC
18,37.00716,-122.05525,Tourist Trap,56,0,DH,UCSC
19,37.0073,-122.05516,Tourist Trap,56,0,DH,UCSC
20,37.00736,-122.05518,Tourist Trap,56,0,DH,UCSC
21,37.00748,-122.05532,Tourist Trap,56,0,DH,UCSC
22,37.00752,-122.0553,Tourist Trap,56,0,DH,UCSC
23,37.00758,-122.0552,Tourist Trap,56,0,DH,UCSC
24,37.0076,-122.05497,Tourist Trap,56,0,DH,UCSC
25,37.00764,-122.05492,Tourist Trap,56,0,DH,UCSC
26,37.00764,-122.05483,Tourist Trap,56,0,DH,UCSC
27,37.00765,-122.05482,Tourist Trap,56,0,DH,UCSC
28,37.00777,-122.05487,Tourist Trap,56,0,DH,UCSC
29,37.00783,-122.05487,Tourist Trap,56,0,DH,UCSC
30,37.00785,-122.05495,Tourist Trap,56,0,DH,UCSC
31,37.00784,-122.05484,Tourist Trap,56,0,DH,UCSC
32,37.00788,-122.0548,Tourist Trap,56,0,DH,UCSC
33,37.00798,-122.05473,Tourist Trap,56,0,DH,UCSC
34,37.00797,-122.05476,Tourist Trap,56,0,DH,UCSC
35,37.00806,-122.05479,Tourist Trap,56,0,DH,UCSC
36,37.00806,-122.05484,Tourist Trap,56,0,DH,UCSC
37,37.00809,-122.05475,Tourist Trap,56,0,DH,UCSC
38,37.00814,-122.05469,Tourist Trap,56,0,DH,UCSC
39,37.00824,-122.0548,Tourist Trap,56,0,DH,UCSC
40,37.00824,-122.05495,Tourist Trap,56,0,DH,UCSC
41,37.00826,-122.05493,Tourist Trap,56,0,DH,UCSC
42,37.0083,-122.05496,Tourist Trap,56,0,DH,UCSC
43,37.00833,-122.05497,Tourist Trap,56,0,DH,UCSC
44,37.00838,-122.05485,Tourist Trap,56,0,DH,UCSC
45,37.00841,-122.05464,Tourist Trap,56,0,DH,UCSC
46,37.0084,-122.05433,Tourist Trap,56,0,DH,UCSC
47,37.00843,-122.05409,Tourist Trap,56,0,DH,UCSC
48,37.00852,-122.05389,Tourist Trap,56,0,DH,UCSC
49,37.00862,-122.05376,Tourist Trap,56,0,DH,UCSC
50,37.0087,-122.05359,Tourist Trap,56,0,DH,UCSC
51,37.0087,-122.05353,Tourist Trap,56,0,DH,UCSC
52,37.00868,-122.05362,Tourist Trap,56,0,DH,UCSC
53,37.00871,-122.05355,Tourist Trap,56,0,DH,UCSC
54,37.00869,-122.05341,Tourist Trap,56,0,DH,UCSC
55,37.00869,-122.05338,Tourist Trap,56,0,DH,UCSC
56,37.00871,-122.0534,Tourist Trap,56,0,DH,UCSC
57,37.00872,-122.05338,Tourist Trap,56,0,DH,UCSC
58,37.0087,-122.05338,Tourist Trap,56,0,DH,UCSC
59,37.00869,-122.05344,Tourist Trap,56,0,DH,UCSC
60,37.0087,-122.05347,Tourist Trap,56,0,DH,UCSC
61,37.00863,-122.05347,Tourist Trap,56,0,DH,UCSC
62,37.00862,-122.05349,Tourist Trap,56,0,DH,UCSC
63,37.00865,-122.05347,Tourist Trap,56,0,DH,UCSC
64,37.00862,-122.05347,Tourist Trap,56,0,DH,UCSC
65,37.00862,-122.05348,Tourist Trap,56,0,DH,UCSC
66,37.00862,-122.05347,Tourist Trap,56,0,DH,UCSC
67,37.00865,-122.05347,Tourist Trap,56,0,DH,UCSC
68,37.00862,-122.05343,Tourist Trap,56,0,DH,UCSC
69,37.00873,-122.05345,Tourist Trap,56,0,DH,UCSC
70,37.00878,-122.05333,Tourist Trap,56,0,DH,UCSC
71,37.00882,-122.05331,Tourist Trap,56,0,DH,UCSC
72,37.0089,-122.05345,Tourist Trap,56,0,DH,UCSC
73,37.00898,-122.05343,Tourist Trap,56,0,DH,UCSC
74,37.00901,-122.05339,Tourist Trap,56,0,DH,UCSC
75,37.00908,-122.05341,Tourist Trap,56,0,DH,UCSC
76,37.00911,-122.05339,Tourist Trap,56,0,DH,UCSC
77,37.00913,-122.0533,Tourist Trap,56,0,DH,UCSC
78,37.00923,-122.0532,Tourist Trap,56,0,DH,UCSC
79,37.00942,-122.05329,Tourist Trap,56,0,DH,UCSC
80,37.0096,-122.05324,Tourist Trap,56,0,DH,UCSC
81,37.00969,-122.05319,Tourist Trap,56,0,DH,UCSC
82,37.00974,-122.05319,Tourist Trap,56,0,DH,UCSC
83,37.00975,-122.05322,Tourist Trap,56,0,DH,UCSC
84,37.00973,-122.05327,Tourist Trap,56,0,DH,UCSC
85,37.00976,-122.05331,Tourist Trap,56,0,DH,UCSC
86,37.00993,-122.05328,Tourist Trap,56,0,DH,UCSC
87,37.01004,-122.0533,Tourist Trap,56,0,DH,UCSC
88,37.01015,-122.05322,Tourist Trap,56,0,DH,UCSC
89,37.01037,-122.05309,Tourist Trap,56,0,DH,UCSC
90,37.01045,-122.05302,Tourist Trap,56,0,DH,UCSC
