,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0068,-121.9972,Upper DH Course,134,40,DH,Delavega
1,37.00715,-121.9971,Upper DH Course,134,40,DH,Delavega
2,37.00723,-121.99709,Upper DH Course,134,40,DH,Delavega
3,37.00747,-121.99701,Upper DH Course,134,40,DH,Delavega
4,37.00753,-121.99695,Upper DH Course,134,40,DH,Delavega
5,37.00759,-121.99694,Upper DH Course,134,40,DH,Delavega
6,37.00784,-121.99704,Upper DH Course,134,40,DH,Delavega
7,37.00791,-121.99709,Upper DH Course,134,40,DH,Delavega
8,37.00799,-121.99715,Upper DH Course,134,40,DH,Delavega
9,37.00804,-121.99726,Upper DH Course,134,40,DH,Delavega
10,37.00798,-121.99723,Upper DH Course,134,40,DH,Delavega
11,37.00778,-121.99709,Upper DH Course,134,40,DH,Delavega
12,37.00771,-121.99707,Upper DH Course,134,40,DH,Delavega
13,37.00766,-121.99708,Upper DH Course,134,40,DH,Delavega
14,37.00762,-121.99709,Upper DH Course,134,40,DH,Delavega
15,37.00752,-121.9972,Upper DH Course,134,40,DH,Delavega
16,37.00742,-121.99725,Upper DH Course,134,40,DH,Delavega
17,37.00731,-121.99733,Upper DH Course,134,40,DH,Delavega
18,37.00725,-121.99753,Upper DH Course,134,40,DH,Delavega
19,37.00705,-121.99774,Upper DH Course,134,40,DH,Delavega
20,37.00686,-121.99776,Upper DH Course,134,40,DH,Delavega
21,37.00667,-121.99774,Upper DH Course,134,40,DH,Delavega
22,37.00657,-121.99793,Upper DH Course,134,40,DH,Delavega
23,37.00656,-121.998,Upper DH Course,134,40,DH,Delavega
24,37.00659,-121.99828,Upper DH Course,134,40,DH,Delavega
25,37.0067,-121.99881,Upper DH Course,134,40,DH,Delavega
26,37.0067,-121.99906,Upper DH Course,134,40,DH,Delavega
27,37.00667,-121.99927,Upper DH Course,134,40,DH,Delavega
28,37.00663,-121.99935,Upper DH Course,134,40,DH,Delavega
