,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00382,-121.91507,Upper Watertower,172,36,DH,Nisene
1,37.00394,-121.91509,Upper Watertower,172,36,DH,Nisene
2,37.00408,-121.91516,Upper Watertower,172,36,DH,Nisene
3,37.00414,-121.9152,Upper Watertower,172,36,DH,Nisene
4,37.00418,-121.91526,Upper Watertower,172,36,DH,Nisene
5,37.00428,-121.91527,Upper Watertower,172,36,DH,Nisene
6,37.00461,-121.91517,Upper Watertower,172,36,DH,Nisene
7,37.00469,-121.91521,Upper Watertower,172,36,DH,Nisene
8,37.00477,-121.9152,Upper Watertower,172,36,DH,Nisene
9,37.0049,-121.91514,Upper Watertower,172,36,DH,Nisene
10,37.005,-121.91513,Upper Watertower,172,36,DH,Nisene
11,37.00505,-121.91502,Upper Watertower,172,36,DH,Nisene
12,37.00513,-121.91489,Upper Watertower,172,36,DH,Nisene
13,37.005,-121.91469,Upper Watertower,172,36,DH,Nisene
14,37.00494,-121.91465,Upper Watertower,172,36,DH,Nisene
15,37.0049,-121.9146,Upper Watertower,172,36,DH,Nisene
16,37.00484,-121.91457,Upper Watertower,172,36,DH,Nisene
17,37.00473,-121.91442,Upper Watertower,172,36,DH,Nisene
18,37.00466,-121.91443,Upper Watertower,172,36,DH,Nisene
19,37.0046,-121.91447,Upper Watertower,172,36,DH,Nisene
20,37.00451,-121.9146,Upper Watertower,172,36,DH,Nisene
21,37.00449,-121.91438,Upper Watertower,172,36,DH,Nisene
22,37.00445,-121.91434,Upper Watertower,172,36,DH,Nisene
23,37.00434,-121.91445,Upper Watertower,172,36,DH,Nisene
24,37.00428,-121.91444,Upper Watertower,172,36,DH,Nisene
25,37.00414,-121.91434,Upper Watertower,172,36,DH,Nisene
26,37.00414,-121.91426,Upper Watertower,172,36,DH,Nisene
27,37.00412,-121.91418,Upper Watertower,172,36,DH,Nisene
28,37.00404,-121.91407,Upper Watertower,172,36,DH,Nisene
29,37.00395,-121.91403,Upper Watertower,172,36,DH,Nisene
30,37.00391,-121.91396,Upper Watertower,172,36,DH,Nisene
31,37.0039,-121.91388,Upper Watertower,172,36,DH,Nisene
32,37.00385,-121.91384,Upper Watertower,172,36,DH,Nisene
33,37.00377,-121.91358,Upper Watertower,172,36,DH,Nisene
