,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.99776,-121.91548,Watertower Hill,405,176,Climb,Nisene
1,36.99791,-121.91545,Watertower Hill,405,176,Climb,Nisene
2,36.99812,-121.91544,Watertower Hill,405,176,Climb,Nisene
3,36.99814,-121.91542,Watertower Hill,405,176,Climb,Nisene
4,36.9982,-121.91546,Watertower Hill,405,176,Climb,Nisene
5,36.9982,-121.91544,Watertower Hill,405,176,Climb,Nisene
6,36.99824,-121.91542,Watertower Hill,405,176,Climb,Nisene
7,36.99836,-121.91542,Watertower Hill,405,176,Climb,Nisene
8,36.99846,-121.91539,Watertower Hill,405,176,Climb,Nisene
9,36.99857,-121.91531,Watertower Hill,405,176,Climb,Nisene
10,36.99866,-121.91519,Watertower Hill,405,176,Climb,Nisene
11,36.99873,-121.91503,Watertower Hill,405,176,Climb,Nisene
12,36.99881,-121.91501,Watertower Hill,405,176,Climb,Nisene
13,36.99883,-121.91491,Watertower Hill,405,176,Climb,Nisene
14,36.99893,-121.91482,Watertower Hill,405,176,Climb,Nisene
15,36.99899,-121.91466,Watertower Hill,405,176,Climb,Nisene
16,36.99906,-121.91456,Watertower Hill,405,176,Climb,Nisene
17,36.99912,-121.91442,Watertower Hill,405,176,Climb,Nisene
18,36.99923,-121.91425,Watertower Hill,405,176,Climb,Nisene
19,36.99931,-121.91417,Watertower Hill,405,176,Climb,Nisene
20,36.99943,-121.91399,Watertower Hill,405,176,Climb,Nisene
21,36.9995,-121.91386,Watertower Hill,405,176,Climb,Nisene
22,36.99952,-121.91357,Watertower Hill,405,176,Climb,Nisene
23,36.99949,-121.91347,Watertower Hill,405,176,Climb,Nisene
24,36.9994,-121.91338,Watertower Hill,405,176,Climb,Nisene
25,36.99936,-121.91331,Watertower Hill,405,176,Climb,Nisene
26,36.99933,-121.91321,Watertower Hill,405,176,Climb,Nisene
27,36.99933,-121.91314,Watertower Hill,405,176,Climb,Nisene
28,36.9994,-121.91309,Watertower Hill,405,176,Climb,Nisene
29,36.99959,-121.91306,Watertower Hill,405,176,Climb,Nisene
30,36.9996,-121.913,Watertower Hill,405,176,Climb,Nisene
31,36.99963,-121.91296,Watertower Hill,405,176,Climb,Nisene
32,36.99972,-121.91299,Watertower Hill,405,176,Climb,Nisene
33,36.99985,-121.91301,Watertower Hill,405,176,Climb,Nisene
34,36.99994,-121.91309,Watertower Hill,405,176,Climb,Nisene
