,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00609,-122.06844,West Fuel Break,397,46,Climb,UCSC
1,37.00654,-122.06876,West Fuel Break,397,46,Climb,UCSC
2,37.00671,-122.06881,West Fuel Break,397,46,Climb,UCSC
3,37.00682,-122.06876,West Fuel Break,397,46,Climb,UCSC
4,37.00715,-122.06857,West Fuel Break,397,46,Climb,UCSC
5,37.0074,-122.06853,West Fuel Break,397,46,Climb,UCSC
6,37.00762,-122.06844,West Fuel Break,397,46,Climb,UCSC
7,37.00777,-122.06832,West Fuel Break,397,46,Climb,UCSC
8,37.00804,-122.06819,West Fuel Break,397,46,Climb,UCSC
9,37.00813,-122.0681,West Fuel Break,397,46,Climb,UCSC
10,37.00825,-122.06803,West Fuel Break,397,46,Climb,UCSC
11,37.00838,-122.06797,West Fuel Break,397,46,Climb,UCSC
12,37.00842,-122.06793,West Fuel Break,397,46,Climb,UCSC
13,37.00849,-122.06776,West Fuel Break,397,46,Climb,UCSC
14,37.00857,-122.06765,West Fuel Break,397,46,Climb,UCSC
15,37.00874,-122.06738,West Fuel Break,397,46,Climb,UCSC
16,37.00895,-122.06714,West Fuel Break,397,46,Climb,UCSC
17,37.00902,-122.06691,West Fuel Break,397,46,Climb,UCSC
18,37.00907,-122.06684,West Fuel Break,397,46,Climb,UCSC
19,37.00921,-122.06673,West Fuel Break,397,46,Climb,UCSC
20,37.00943,-122.06639,West Fuel Break,397,46,Climb,UCSC
21,37.00956,-122.06626,West Fuel Break,397,46,Climb,UCSC
22,37.0097,-122.06616,West Fuel Break,397,46,Climb,UCSC
