,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.05479,-121.88891,West Ridge DH Entrance,282,78,DH,Nisene
1,37.05478,-121.88901,West Ridge DH Entrance,282,78,DH,Nisene
2,37.05485,-121.88912,West Ridge DH Entrance,282,78,DH,Nisene
3,37.05491,-121.88919,West Ridge DH Entrance,282,78,DH,Nisene
4,37.05493,-121.8893,West Ridge DH Entrance,282,78,DH,Nisene
5,37.05504,-121.88931,West Ridge DH Entrance,282,78,DH,Nisene
6,37.05513,-121.88941,West Ridge DH Entrance,282,78,DH,Nisene
7,37.05527,-121.88943,West Ridge DH Entrance,282,78,DH,Nisene
8,37.05532,-121.88946,West Ridge DH Entrance,282,78,DH,Nisene
9,37.0554,-121.88947,West Ridge DH Entrance,282,78,DH,Nisene
10,37.05547,-121.88946,West Ridge DH Entrance,282,78,DH,Nisene
11,37.05563,-121.8894,West Ridge DH Entrance,282,78,DH,Nisene
12,37.05566,-121.88946,West Ridge DH Entrance,282,78,DH,Nisene
13,37.05574,-121.88946,West Ridge DH Entrance,282,78,DH,Nisene
14,37.0558,-121.88948,West Ridge DH Entrance,282,78,DH,Nisene
15,37.05582,-121.88958,West Ridge DH Entrance,282,78,DH,Nisene
16,37.05575,-121.88966,West Ridge DH Entrance,282,78,DH,Nisene
17,37.05567,-121.88967,West Ridge DH Entrance,282,78,DH,Nisene
18,37.05558,-121.8897,West Ridge DH Entrance,282,78,DH,Nisene
19,37.05552,-121.88967,West Ridge DH Entrance,282,78,DH,Nisene
20,37.05526,-121.8897,West Ridge DH Entrance,282,78,DH,Nisene
21,37.05518,-121.88968,West Ridge DH Entrance,282,78,DH,Nisene
22,37.05509,-121.8897,West Ridge DH Entrance,282,78,DH,Nisene
23,37.05503,-121.88973,West Ridge DH Entrance,282,78,DH,Nisene
24,37.05492,-121.88985,West Ridge DH Entrance,282,78,DH,Nisene
25,37.05494,-121.88989,West Ridge DH Entrance,282,78,DH,Nisene
26,37.05506,-121.89036,West Ridge DH Entrance,282,78,DH,Nisene
27,37.05493,-121.89061,West Ridge DH Entrance,282,78,DH,Nisene
28,37.05497,-121.89069,West Ridge DH Entrance,282,78,DH,Nisene
29,37.05499,-121.8908,West Ridge DH Entrance,282,78,DH,Nisene
30,37.05514,-121.8911,West Ridge DH Entrance,282,78,DH,Nisene
31,37.05516,-121.89128,West Ridge DH Entrance,282,78,DH,Nisene
32,37.05515,-121.89138,West Ridge DH Entrance,282,78,DH,Nisene
33,37.05496,-121.89155,West Ridge DH Entrance,282,78,DH,Nisene
34,37.05489,-121.89171,West Ridge DH Entrance,282,78,DH,Nisene
35,37.05494,-121.89178,West Ridge DH Entrance,282,78,DH,Nisene
36,37.05492,-121.89187,West Ridge DH Entrance,282,78,DH,Nisene
37,37.05487,-121.89198,West Ridge DH Entrance,282,78,DH,Nisene
38,37.05469,-121.89218,West Ridge DH Entrance,282,78,DH,Nisene
39,37.05464,-121.89218,West Ridge DH Entrance,282,78,DH,Nisene
40,37.05461,-121.89223,West Ridge DH Entrance,282,78,DH,Nisene
41,37.05458,-121.89237,West Ridge DH Entrance,282,78,DH,Nisene
42,37.0546,-121.89253,West Ridge DH Entrance,282,78,DH,Nisene
43,37.05466,-121.89256,West Ridge DH Entrance,282,78,DH,Nisene
44,37.05471,-121.89264,West Ridge DH Entrance,282,78,DH,Nisene
45,37.05473,-121.89277,West Ridge DH Entrance,282,78,DH,Nisene
46,37.05472,-121.89284,West Ridge DH Entrance,282,78,DH,Nisene
47,37.05469,-121.89291,West Ridge DH Entrance,282,78,DH,Nisene
48,37.05464,-121.89296,West Ridge DH Entrance,282,78,DH,Nisene
49,37.05456,-121.89298,West Ridge DH Entrance,282,78,DH,Nisene
50,37.0543,-121.89313,West Ridge DH Entrance,282,78,DH,Nisene
51,37.05412,-121.89333,West Ridge DH Entrance,282,78,DH,Nisene
52,37.05404,-121.89338,West Ridge DH Entrance,282,78,DH,Nisene
53,37.05392,-121.89355,West Ridge DH Entrance,282,78,DH,Nisene
54,37.05386,-121.89356,West Ridge DH Entrance,282,78,DH,Nisene
55,37.05375,-121.89368,West Ridge DH Entrance,282,78,DH,Nisene
56,37.05372,-121.89377,West Ridge DH Entrance,282,78,DH,Nisene
57,37.05372,-121.89384,West Ridge DH Entrance,282,78,DH,Nisene
