,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0548,-121.88875,West Ridge to Buddah,128,21,DH,Buddah
1,37.05481,-121.88894,West Ridge to Buddah,128,21,DH,Buddah
2,37.05484,-121.88904,West Ridge to Buddah,128,21,DH,Buddah
3,37.05495,-121.88922,West Ridge to Buddah,128,21,DH,Buddah
4,37.05512,-121.88935,West Ridge to Buddah,128,21,DH,Buddah
5,37.05533,-121.88949,West Ridge to Buddah,128,21,DH,Buddah
6,37.05542,-121.88953,West Ridge to Buddah,128,21,DH,Buddah
7,37.0556,-121.88959,West Ridge to Buddah,128,21,DH,Buddah
8,37.05567,-121.88963,West Ridge to Buddah,128,21,DH,Buddah
9,37.05578,-121.8898,West Ridge to Buddah,128,21,DH,Buddah
10,37.05569,-121.88979,West Ridge to Buddah,128,21,DH,Buddah
11,37.05562,-121.8898,West Ridge to Buddah,128,21,DH,Buddah
12,37.05552,-121.88983,West Ridge to Buddah,128,21,DH,Buddah
13,37.0554,-121.8899,West Ridge to Buddah,128,21,DH,Buddah
14,37.05531,-121.88999,West Ridge to Buddah,128,21,DH,Buddah
15,37.05519,-121.89021,West Ridge to Buddah,128,21,DH,Buddah
16,37.05515,-121.89043,West Ridge to Buddah,128,21,DH,Buddah
17,37.05512,-121.89087,West Ridge to Buddah,128,21,DH,Buddah
18,37.05516,-121.89131,West Ridge to Buddah,128,21,DH,Buddah
19,37.05516,-121.89156,West Ridge to Buddah,128,21,DH,Buddah
20,37.05511,-121.89177,West Ridge to Buddah,128,21,DH,Buddah
21,37.05493,-121.89226,West Ridge to Buddah,128,21,DH,Buddah
22,37.05489,-121.89235,West Ridge to Buddah,128,21,DH,Buddah
23,37.05479,-121.89249,West Ridge to Buddah,128,21,DH,Buddah
24,37.05473,-121.89265,West Ridge to Buddah,128,21,DH,Buddah
25,37.05472,-121.89273,West Ridge to Buddah,128,21,DH,Buddah
26,37.05475,-121.89305,West Ridge to Buddah,128,21,DH,Buddah
27,37.05474,-121.89312,West Ridge to Buddah,128,21,DH,Buddah
28,37.05468,-121.89323,West Ridge to Buddah,128,21,DH,Buddah
29,37.05442,-121.89342,West Ridge to Buddah,128,21,DH,Buddah
30,37.05412,-121.8936,West Ridge to Buddah,128,21,DH,Buddah
31,37.05393,-121.89376,West Ridge to Buddah,128,21,DH,Buddah
32,37.05387,-121.89387,West Ridge to Buddah,128,21,DH,Buddah
33,37.05378,-121.89411,West Ridge to Buddah,128,21,DH,Buddah
34,37.05372,-121.89422,West Ridge to Buddah,128,21,DH,Buddah
35,37.05344,-121.89452,West Ridge to Buddah,128,21,DH,Buddah
36,37.05317,-121.89474,West Ridge to Buddah,128,21,DH,Buddah
37,37.05307,-121.89491,West Ridge to Buddah,128,21,DH,Buddah
38,37.05305,-121.89497,West Ridge to Buddah,128,21,DH,Buddah
39,37.05295,-121.89536,West Ridge to Buddah,128,21,DH,Buddah
40,37.05293,-121.8956,West Ridge to Buddah,128,21,DH,Buddah
41,37.05294,-121.89595,West Ridge to Buddah,128,21,DH,Buddah
42,37.05299,-121.8964,West Ridge to Buddah,128,21,DH,Buddah
43,37.05309,-121.89674,West Ridge to Buddah,128,21,DH,Buddah
44,37.05318,-121.897,West Ridge to Buddah,128,21,DH,Buddah
45,37.05323,-121.89724,West Ridge to Buddah,128,21,DH,Buddah
46,37.05331,-121.89748,West Ridge to Buddah,128,21,DH,Buddah
47,37.0533,-121.89757,West Ridge to Buddah,128,21,DH,Buddah
48,37.05332,-121.89766,West Ridge to Buddah,128,21,DH,Buddah
49,37.05328,-121.89778,West Ridge to Buddah,128,21,DH,Buddah
50,37.05324,-121.89797,West Ridge to Buddah,128,21,DH,Buddah
51,37.05326,-121.89807,West Ridge to Buddah,128,21,DH,Buddah
52,37.05323,-121.89827,West Ridge to Buddah,128,21,DH,Buddah
53,37.05323,-121.89874,West Ridge to Buddah,128,21,DH,Buddah
54,37.05338,-121.89927,West Ridge to Buddah,128,21,DH,Buddah
55,37.05335,-121.89939,West Ridge to Buddah,128,21,DH,Buddah
56,37.05316,-121.89955,West Ridge to Buddah,128,21,DH,Buddah
57,37.05306,-121.89959,West Ridge to Buddah,128,21,DH,Buddah
58,37.05297,-121.89968,West Ridge to Buddah,128,21,DH,Buddah
59,37.05286,-121.89988,West Ridge to Buddah,128,21,DH,Buddah
60,37.0529,-121.90015,West Ridge to Buddah,128,21,DH,Buddah
61,37.05285,-121.90028,West Ridge to Buddah,128,21,DH,Buddah
62,37.0527,-121.90044,West Ridge to Buddah,128,21,DH,Buddah
63,37.05258,-121.90054,West Ridge to Buddah,128,21,DH,Buddah
64,37.05249,-121.90068,West Ridge to Buddah,128,21,DH,Buddah
65,37.05243,-121.9009,West Ridge to Buddah,128,21,DH,Buddah
66,37.05242,-121.90111,West Ridge to Buddah,128,21,DH,Buddah
67,37.05246,-121.90127,West Ridge to Buddah,128,21,DH,Buddah
68,37.05247,-121.9014,West Ridge to Buddah,128,21,DH,Buddah
69,37.0524,-121.90155,West Ridge to Buddah,128,21,DH,Buddah
70,37.05234,-121.90189,West Ridge to Buddah,128,21,DH,Buddah
71,37.05231,-121.90212,West Ridge to Buddah,128,21,DH,Buddah
72,37.05234,-121.90219,West Ridge to Buddah,128,21,DH,Buddah
73,37.05234,-121.90222,West Ridge to Buddah,128,21,DH,Buddah
74,37.05232,-121.90223,West Ridge to Buddah,128,21,DH,Buddah
75,37.05223,-121.90223,West Ridge to Buddah,128,21,DH,Buddah
76,37.05218,-121.90227,West Ridge to Buddah,128,21,DH,Buddah
77,37.05199,-121.90252,West Ridge to Buddah,128,21,DH,Buddah
78,37.05183,-121.9028,West Ridge to Buddah,128,21,DH,Buddah
79,37.05179,-121.90283,West Ridge to Buddah,128,21,DH,Buddah
80,37.05161,-121.9028,West Ridge to Buddah,128,21,DH,Buddah
81,37.05155,-121.90289,West Ridge to Buddah,128,21,DH,Buddah
