,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00616,-122.05269,Whip,54,0,DH,UCSC
1,37.00602,-122.05249,Whip,54,0,DH,UCSC
2,37.00598,-122.05238,Whip,54,0,DH,UCSC
3,37.00598,-122.05229,Whip,54,0,DH,UCSC
4,37.006,-122.05215,Whip,54,0,DH,UCSC
5,37.00616,-122.0519,Whip,54,0,DH,UCSC
6,37.00629,-122.05182,Whip,54,0,DH,UCSC
7,37.00639,-122.05173,Whip,54,0,DH,UCSC
8,37.00648,-122.05141,Whip,54,0,DH,UCSC
9,37.0064,-122.051,Whip,54,0,DH,UCSC
10,37.00635,-122.05096,Whip,54,0,DH,UCSC
11,37.00631,-122.05081,Whip,54,0,DH,UCSC
12,37.00627,-122.0507,Whip,54,0,DH,UCSC
13,37.00626,-122.05065,Whip,54,0,DH,UCSC
14,37.0063,-122.05056,Whip,54,0,DH,UCSC
15,37.0063,-122.0505,Whip,54,0,DH,UCSC
16,37.00633,-122.05044,Whip,54,0,DH,UCSC
17,37.0064,-122.05037,Whip,54,0,DH,UCSC
18,37.00645,-122.05041,Whip,54,0,DH,UCSC
19,37.00651,-122.0505,Whip,54,0,DH,UCSC
20,37.00658,-122.0505,Whip,54,0,DH,UCSC
21,37.00682,-122.05041,Whip,54,0,DH,UCSC
22,37.00692,-122.05042,Whip,54,0,DH,UCSC
23,37.00701,-122.05039,Whip,54,0,DH,UCSC
24,37.00709,-122.05023,Whip,54,0,DH,UCSC
25,37.00712,-122.05008,Whip,54,0,DH,UCSC
26,37.0071,-122.04989,Whip,54,0,DH,UCSC
27,37.00708,-122.04983,Whip,54,0,DH,UCSC
28,37.00712,-122.04966,Whip,54,0,DH,UCSC
29,37.0071,-122.04962,Whip,54,0,DH,UCSC
30,37.00708,-122.04948,Whip,54,0,DH,UCSC
31,37.00711,-122.04934,Whip,54,0,DH,UCSC
32,37.00721,-122.04906,Whip,54,0,DH,UCSC
33,37.00723,-122.04891,Whip,54,0,DH,UCSC
34,37.00726,-122.04886,Whip,54,0,DH,UCSC
35,37.00735,-122.04881,Whip,54,0,DH,UCSC
36,37.00741,-122.04886,Whip,54,0,DH,UCSC
37,37.00761,-122.04881,Whip,54,0,DH,UCSC
38,37.00768,-122.04881,Whip,54,0,DH,UCSC
