,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.96474,-122.08427,Wilder Ridge,390,39,Climb,Empire/Wilder
1,36.96517,-122.08423,Wilder Ridge,390,39,Climb,Empire/Wilder
2,36.96521,-122.08423,Wilder Ridge,390,39,Climb,Empire/Wilder
3,36.96523,-122.08426,Wilder Ridge,390,39,Climb,Empire/Wilder
4,36.96514,-122.08428,Wilder Ridge,390,39,Climb,Empire/Wilder
5,36.96497,-122.08438,Wilder Ridge,390,39,Climb,Empire/Wilder
6,36.96459,-122.08451,Wilder Ridge,390,39,Climb,Empire/Wilder
7,36.96452,-122.0846,Wilder Ridge,390,39,Climb,Empire/Wilder
8,36.96436,-122.08473,Wilder Ridge,390,39,Climb,Empire/Wilder
9,36.96423,-122.08487,Wilder Ridge,390,39,Climb,Empire/Wilder
10,36.96413,-122.08495,Wilder Ridge,390,39,Climb,Empire/Wilder
11,36.96405,-122.08499,Wilder Ridge,390,39,Climb,Empire/Wilder
12,36.96393,-122.08509,Wilder Ridge,390,39,Climb,Empire/Wilder
13,36.96381,-122.08521,Wilder Ridge,390,39,Climb,Empire/Wilder
14,36.96376,-122.08526,Wilder Ridge,390,39,Climb,Empire/Wilder
15,36.96366,-122.08544,Wilder Ridge,390,39,Climb,Empire/Wilder
16,36.96356,-122.08576,Wilder Ridge,390,39,Climb,Empire/Wilder
17,36.96347,-122.08613,Wilder Ridge,390,39,Climb,Empire/Wilder
18,36.96347,-122.08622,Wilder Ridge,390,39,Climb,Empire/Wilder
19,36.96349,-122.08627,Wilder Ridge,390,39,Climb,Empire/Wilder
20,36.96356,-122.08637,Wilder Ridge,390,39,Climb,Empire/Wilder
21,36.96396,-122.08682,Wilder Ridge,390,39,Climb,Empire/Wilder
22,36.96404,-122.08694,Wilder Ridge,390,39,Climb,Empire/Wilder
23,36.9643,-122.08719,Wilder Ridge,390,39,Climb,Empire/Wilder
24,36.96448,-122.0873,Wilder Ridge,390,39,Climb,Empire/Wilder
25,36.9646,-122.08734,Wilder Ridge,390,39,Climb,Empire/Wilder
26,36.96549,-122.08735,Wilder Ridge,390,39,Climb,Empire/Wilder
