,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00941,-122.05888,Wizards,22,0,DH,UCSC
1,37.00941,-122.05857,Wizards,22,0,DH,UCSC
2,37.00944,-122.05841,Wizards,22,0,DH,UCSC
3,37.00948,-122.05834,Wizards,22,0,DH,UCSC
4,37.00951,-122.05825,Wizards,22,0,DH,UCSC
5,37.00952,-122.05803,Wizards,22,0,DH,UCSC
6,37.00966,-122.05791,Wizards,22,0,DH,UCSC
7,37.00969,-122.05784,Wizards,22,0,DH,UCSC
8,37.00974,-122.05781,Wizards,22,0,DH,UCSC
9,37.00975,-122.05769,Wizards,22,0,DH,UCSC
10,37.00996,-122.05765,Wizards,22,0,DH,UCSC
11,37.00999,-122.05763,Wizards,22,0,DH,UCSC
12,37.01013,-122.05758,Wizards,22,0,DH,UCSC
13,37.01021,-122.05751,Wizards,22,0,DH,UCSC
14,37.0102,-122.0575,Wizards,22,0,DH,UCSC
15,37.01023,-122.05755,Wizards,22,0,DH,UCSC
16,37.01029,-122.05756,Wizards,22,0,DH,UCSC
17,37.01031,-122.05753,Wizards,22,0,DH,UCSC
18,37.01033,-122.05748,Wizards,22,0,DH,UCSC
19,37.01031,-122.05744,Wizards,22,0,DH,UCSC
20,37.01031,-122.05734,Wizards,22,0,DH,UCSC
21,37.0103,-122.05728,Wizards,22,0,DH,UCSC
22,37.01031,-122.05721,Wizards,22,0,DH,UCSC
23,37.0103,-122.05706,Wizards,22,0,DH,UCSC
24,37.01036,-122.05704,Wizards,22,0,DH,UCSC
25,37.01036,-122.057,Wizards,22,0,DH,UCSC
26,37.01034,-122.0569,Wizards,22,0,DH,UCSC
27,37.01036,-122.0568,Wizards,22,0,DH,UCSC
28,37.01037,-122.05678,Wizards,22,0,DH,UCSC
29,37.01036,-122.05675,Wizards,22,0,DH,UCSC
30,37.01037,-122.05671,Wizards,22,0,DH,UCSC
31,37.01046,-122.05654,Wizards,22,0,DH,UCSC
32,37.01059,-122.05647,Wizards,22,0,DH,UCSC
33,37.01064,-122.05635,Wizards,22,0,DH,UCSC
34,37.01076,-122.05618,Wizards,22,0,DH,UCSC
35,37.01091,-122.05612,Wizards,22,0,DH,UCSC
36,37.01111,-122.05608,Wizards,22,0,DH,UCSC
37,37.01119,-122.05596,Wizards,22,0,DH,UCSC
38,37.0112,-122.056,Wizards,22,0,DH,UCSC
39,37.01139,-122.056,Wizards,22,0,DH,UCSC
40,37.0115,-122.05608,Wizards,22,0,DH,UCSC
41,37.01151,-122.05614,Wizards,22,0,DH,UCSC
42,37.01159,-122.0562,Wizards,22,0,DH,UCSC
43,37.01168,-122.05617,Wizards,22,0,DH,UCSC
44,37.01172,-122.05618,Wizards,22,0,DH,UCSC
45,37.01177,-122.05616,Wizards,22,0,DH,UCSC
46,37.01187,-122.05618,Wizards,22,0,DH,UCSC
47,37.01191,-122.05615,Wizards,22,0,DH,UCSC
48,37.01196,-122.05615,Wizards,22,0,DH,UCSC
49,37.01204,-122.05617,Wizards,22,0,DH,UCSC
50,37.01206,-122.05622,Wizards,22,0,DH,UCSC
51,37.01206,-122.05631,Wizards,22,0,DH,UCSC
52,37.01208,-122.05631,Wizards,22,0,DH,UCSC
53,37.01216,-122.05627,Wizards,22,0,DH,UCSC
54,37.01212,-122.05624,Wizards,22,0,DH,UCSC
55,37.01208,-122.05626,Wizards,22,0,DH,UCSC
56,37.01212,-122.05627,Wizards,22,0,DH,UCSC
57,37.01208,-122.05626,Wizards,22,0,DH,UCSC
58,37.01206,-122.05618,Wizards,22,0,DH,UCSC
59,37.01197,-122.05608,Wizards,22,0,DH,UCSC
60,37.01195,-122.05598,Wizards,22,0,DH,UCSC
61,37.01187,-122.05591,Wizards,22,0,DH,UCSC
62,37.01185,-122.05595,Wizards,22,0,DH,UCSC
63,37.0118,-122.05599,Wizards,22,0,DH,UCSC
64,37.01175,-122.05597,Wizards,22,0,DH,UCSC
65,37.0116,-122.05589,Wizards,22,0,DH,UCSC
66,37.01157,-122.05584,Wizards,22,0,DH,UCSC
67,37.01163,-122.0557,Wizards,22,0,DH,UCSC
68,37.01166,-122.05558,Wizards,22,0,DH,UCSC
69,37.0116,-122.05559,Wizards,22,0,DH,UCSC
70,37.01152,-122.05556,Wizards,22,0,DH,UCSC
71,37.01144,-122.05535,Wizards,22,0,DH,UCSC
72,37.01151,-122.05515,Wizards,22,0,DH,UCSC
73,37.0115,-122.05507,Wizards,22,0,DH,UCSC
74,37.01163,-122.05505,Wizards,22,0,DH,UCSC
75,37.01168,-122.05499,Wizards,22,0,DH,UCSC
76,37.01171,-122.05488,Wizards,22,0,DH,UCSC
77,37.01183,-122.05482,Wizards,22,0,DH,UCSC
78,37.01188,-122.05477,Wizards,22,0,DH,UCSC
79,37.01191,-122.05483,Wizards,22,0,DH,UCSC
80,37.01196,-122.0548,Wizards,22,0,DH,UCSC
81,37.01198,-122.05482,Wizards,22,0,DH,UCSC
82,37.01199,-122.05484,Wizards,22,0,DH,UCSC
83,37.01201,-122.05484,Wizards,22,0,DH,UCSC
