,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.99846,-122.00287,XC Lap,17,0,Misc,Delavega
1,36.99848,-122.0026,XC Lap,17,0,Misc,Delavega
2,36.99847,-122.00245,XC Lap,17,0,Misc,Delavega
3,36.99852,-122.00223,XC Lap,17,0,Misc,Delavega
4,36.9985,-122.00209,XC Lap,17,0,Misc,Delavega
5,36.99851,-122.00196,XC Lap,17,0,Misc,Delavega
6,36.99882,-122.00155,XC Lap,17,0,Misc,Delavega
7,36.99895,-122.0013,XC Lap,17,0,Misc,Delavega
8,36.99919,-122.00097,XC Lap,17,0,Misc,Delavega
9,36.99924,-122.00086,XC Lap,17,0,Misc,Delavega
10,36.99926,-122.00058,XC Lap,17,0,Misc,Delavega
11,36.99934,-122.00046,XC Lap,17,0,Misc,Delavega
12,36.9994,-122.00042,XC Lap,17,0,Misc,Delavega
13,36.99964,-122.00045,XC Lap,17,0,Misc,Delavega
14,36.99978,-122.00038,XC Lap,17,0,Misc,Delavega
15,36.9998,-122.00028,XC Lap,17,0,Misc,Delavega
16,36.99975,-122.00002,XC Lap,17,0,Misc,Delavega
17,36.99972,-121.99992,XC Lap,17,0,Misc,Delavega
18,36.99963,-121.99981,XC Lap,17,0,Misc,Delavega
19,36.99962,-121.99995,XC Lap,17,0,Misc,Delavega
20,36.99958,-122.00002,XC Lap,17,0,Misc,Delavega
21,36.99953,-122.00005,XC Lap,17,0,Misc,Delavega
22,36.99939,-122.00003,XC Lap,17,0,Misc,Delavega
23,36.99921,-122.00007,XC Lap,17,0,Misc,Delavega
24,36.99907,-122.00015,XC Lap,17,0,Misc,Delavega
25,36.99905,-122.00049,XC Lap,17,0,Misc,Delavega
26,36.99875,-122.0009,XC Lap,17,0,Misc,Delavega
27,36.99856,-122.00099,XC Lap,17,0,Misc,Delavega
28,36.99815,-122.00098,XC Lap,17,0,Misc,Delavega
29,36.99795,-122.00161,XC Lap,17,0,Misc,Delavega
30,36.99789,-122.00169,XC Lap,17,0,Misc,Delavega
31,36.99773,-122.00194,XC Lap,17,0,Misc,Delavega
32,36.99771,-122.00214,XC Lap,17,0,Misc,Delavega
33,36.99769,-122.00219,XC Lap,17,0,Misc,Delavega
34,36.9974,-122.00252,XC Lap,17,0,Misc,Delavega
35,36.99731,-122.00278,XC Lap,17,0,Misc,Delavega
36,36.99735,-122.00298,XC Lap,17,0,Misc,Delavega
37,36.99746,-122.00314,XC Lap,17,0,Misc,Delavega
38,36.99742,-122.00354,XC Lap,17,0,Misc,Delavega
39,36.99737,-122.00367,XC Lap,17,0,Misc,Delavega
40,36.99738,-122.00398,XC Lap,17,0,Misc,Delavega
41,36.99731,-122.0042,XC Lap,17,0,Misc,Delavega
42,36.99722,-122.00427,XC Lap,17,0,Misc,Delavega
43,36.99708,-122.00431,XC Lap,17,0,Misc,Delavega
44,36.99702,-122.00438,XC Lap,17,0,Misc,Delavega
45,36.99694,-122.00473,XC Lap,17,0,Misc,Delavega
46,36.99683,-122.00481,XC Lap,17,0,Misc,Delavega
47,36.99671,-122.00517,XC Lap,17,0,Misc,Delavega
48,36.99665,-122.00573,XC Lap,17,0,Misc,Delavega
49,36.99666,-122.00592,XC Lap,17,0,Misc,Delavega
50,36.9967,-122.00618,XC Lap,17,0,Misc,Delavega
51,36.99683,-122.00647,XC Lap,17,0,Misc,Delavega
52,36.99701,-122.00674,XC Lap,17,0,Misc,Delavega
53,36.99707,-122.00686,XC Lap,17,0,Misc,Delavega
54,36.99694,-122.00727,XC Lap,17,0,Misc,Delavega
55,36.99689,-122.00733,XC Lap,17,0,Misc,Delavega
56,36.99686,-122.00763,XC Lap,17,0,Misc,Delavega
57,36.99688,-122.00795,XC Lap,17,0,Misc,Delavega
58,36.99698,-122.00829,XC Lap,17,0,Misc,Delavega
59,36.99678,-122.00836,XC Lap,17,0,Misc,Delavega
60,36.99673,-122.00836,XC Lap,17,0,Misc,Delavega
61,36.99633,-122.00877,XC Lap,17,0,Misc,Delavega
62,36.99582,-122.00894,XC Lap,17,0,Misc,Delavega
63,36.99569,-122.00904,XC Lap,17,0,Misc,Delavega
64,36.99557,-122.00929,XC Lap,17,0,Misc,Delavega
