,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.98144,-122.09688,Zane Grey,191,29,DH,Empire/Wilder
1,36.98137,-122.0969,Zane Grey,191,29,DH,Empire/Wilder
2,36.98133,-122.09696,Zane Grey,191,29,DH,Empire/Wilder
3,36.98128,-122.09711,Zane Grey,191,29,DH,Empire/Wilder
4,36.98105,-122.0974,Zane Grey,191,29,DH,Empire/Wilder
5,36.98068,-122.09734,Zane Grey,191,29,DH,Empire/Wilder
6,36.98061,-122.09735,Zane Grey,191,29,DH,Empire/Wilder
7,36.98054,-122.09739,Zane Grey,191,29,DH,Empire/Wilder
8,36.98042,-122.09759,Zane Grey,191,29,DH,Empire/Wilder
9,36.98028,-122.09797,Zane Grey,191,29,DH,Empire/Wilder
10,36.98022,-122.0982,Zane Grey,191,29,DH,Empire/Wilder
11,36.98014,-122.09834,Zane Grey,191,29,DH,Empire/Wilder
12,36.97994,-122.09859,Zane Grey,191,29,DH,Empire/Wilder
13,36.97983,-122.0987,Zane Grey,191,29,DH,Empire/Wilder
14,36.97956,-122.09891,Zane Grey,191,29,DH,Empire/Wilder
15,36.97949,-122.09893,Zane Grey,191,29,DH,Empire/Wilder
16,36.97933,-122.09895,Zane Grey,191,29,DH,Empire/Wilder
17,36.97887,-122.09886,Zane Grey,191,29,DH,Empire/Wilder
18,36.97879,-122.09887,Zane Grey,191,29,DH,Empire/Wilder
19,36.97872,-122.0989,Zane Grey,191,29,DH,Empire/Wilder
20,36.97866,-122.09895,Zane Grey,191,29,DH,Empire/Wilder
21,36.97862,-122.09902,Zane Grey,191,29,DH,Empire/Wilder
22,36.97864,-122.09941,Zane Grey,191,29,DH,Empire/Wilder
23,36.97869,-122.09974,Zane Grey,191,29,DH,Empire/Wilder
24,36.97867,-122.09997,Zane Grey,191,29,DH,Empire/Wilder
25,36.97854,-122.10041,Zane Grey,191,29,DH,Empire/Wilder
26,36.97844,-122.10087,Zane Grey,191,29,DH,Empire/Wilder
27,36.97826,-122.10113,Zane Grey,191,29,DH,Empire/Wilder
28,36.9782,-122.10119,Zane Grey,191,29,DH,Empire/Wilder
29,36.97814,-122.10123,Zane Grey,191,29,DH,Empire/Wilder
30,36.97793,-122.10116,Zane Grey,191,29,DH,Empire/Wilder
31,36.9777,-122.10115,Zane Grey,191,29,DH,Empire/Wilder
32,36.9773,-122.10122,Zane Grey,191,29,DH,Empire/Wilder
33,36.97706,-122.1013,Zane Grey,191,29,DH,Empire/Wilder
34,36.97655,-122.10153,Zane Grey,191,29,DH,Empire/Wilder
35,36.97647,-122.10156,Zane Grey,191,29,DH,Empire/Wilder
36,36.97631,-122.10155,Zane Grey,191,29,DH,Empire/Wilder
37,36.97617,-122.1015,Zane Grey,191,29,DH,Empire/Wilder
38,36.97612,-122.10147,Zane Grey,191,29,DH,Empire/Wilder
39,36.97609,-122.10142,Zane Grey,191,29,DH,Empire/Wilder
40,36.9761,-122.1013,Zane Grey,191,29,DH,Empire/Wilder
41,36.97612,-122.10123,Zane Grey,191,29,DH,Empire/Wilder
42,36.97627,-122.10079,Zane Grey,191,29,DH,Empire/Wilder
43,36.97631,-122.10056,Zane Grey,191,29,DH,Empire/Wilder
44,36.97631,-122.10046,Zane Grey,191,29,DH,Empire/Wilder
45,36.97619,-122.10028,Zane Grey,191,29,DH,Empire/Wilder
46,36.97594,-122.09995,Zane Grey,191,29,DH,Empire/Wilder
47,36.9757,-122.09974,Zane Grey,191,29,DH,Empire/Wilder
48,36.97552,-122.09962,Zane Grey,191,29,DH,Empire/Wilder
49,36.9752,-122.09933,Zane Grey,191,29,DH,Empire/Wilder
50,36.97511,-122.09929,Zane Grey,191,29,DH,Empire/Wilder
51,36.97503,-122.09931,Zane Grey,191,29,DH,Empire/Wilder
52,36.97487,-122.09936,Zane Grey,191,29,DH,Empire/Wilder
53,36.97475,-122.09945,Zane Grey,191,29,DH,Empire/Wilder
54,36.97471,-122.09946,Zane Grey,191,29,DH,Empire/Wilder
55,36.97469,-122.09944,Zane Grey,191,29,DH,Empire/Wilder
