lat,long
36.9858,-122.11087
36.98567,-122.11108
36.98552,-122.11125
36.98532,-122.11138
36.98511,-122.11146
36.98503,-122.11146
36.98485,-122.11143
36.98436,-122.11122
36.98373,-122.1109
36.9834,-122.11079
36.98263,-122.1107
36.98196,-122.11072
36.98181,-122.11075
36.98161,-122.11084
36.98116,-122.11118
36.98075,-122.1115
36.98052,-122.11162
36.98035,-122.11166
36.98027,-122.11167
36.97974,-122.11156
36.97965,-122.11156
36.97949,-122.1116
36.97941,-122.11165
36.97928,-122.11177
36.97922,-122.11186
36.97914,-122.11206
36.97912,-122.11216
36.97914,-122.11254
36.97909,-122.11275
36.97901,-122.11294
36.97896,-122.11314
36.97893,-122.11323
36.97868,-122.11351
36.97838,-122.11395
36.97816,-122.11419
36.97808,-122.11426
36.97799,-122.11431
36.97781,-122.11437
36.97772,-122.11438
36.97744,-122.11438
36.97707,-122.11432
36.97657,-122.11433
36.97648,-122.11433
36.9764,-122.11437
36.97633,-122.11443
36.97622,-122.11464
36.97616,-122.11487
36.97616,-122.11509
36.97623,-122.11567
36.97623,-122.11593
36.97622,-122.11605
36.97616,-122.11614
36.97609,-122.11621
36.97601,-122.11626
36.97554,-122.11641
36.97475,-122.11675
36.97422,-122.11703
36.97385,-122.11713
36.97323,-122.11739
36.97309,-122.11752
36.97271,-122.11796
36.97255,-122.11806
36.97237,-122.1181
36.97205,-122.11812
36.97165,-122.11819
36.97147,-122.11816
36.97133,-122.11806
36.9711,-122.11783
36.97085,-122.11763
36.97071,-122.11745
36.97061,-122.11725
36.97055,-122.11718
