lat,long
37.01721,-122.06968
37.01723,-122.06963
37.01713,-122.06946
37.0171,-122.06922
37.01705,-122.06913
37.01707,-122.06904
37.01714,-122.06891
37.0172,-122.0688
37.01728,-122.06876
37.01732,-122.06861
37.01738,-122.06859
37.01745,-122.0684
37.0174,-122.06815
37.01738,-122.06812
37.01735,-122.0681
37.01742,-122.06798
37.01745,-122.0679
37.01745,-122.06769
37.01749,-122.06749
37.01751,-122.06717
37.01754,-122.06706
37.01752,-122.0669
37.0173,-122.06667
37.0173,-122.06662
37.01726,-122.06658
37.01726,-122.06654
37.01739,-122.06638
37.0174,-122.06575
37.01743,-122.06571
37.01744,-122.06563
37.01742,-122.06559
37.01742,-122.0654
