lat,long
37.00295,-121.99238
37.00301,-121.99237
37.00308,-121.99245
37.00317,-121.99264
37.0033,-121.99304
37.00333,-121.99309
37.0034,-121.99312
37.00344,-121.99317
37.00353,-121.99321
37.00364,-121.99333
37.00373,-121.99338
37.00379,-121.9934
37.00382,-121.99339
37.00395,-121.99348
37.00401,-121.9935
37.00416,-121.99359
37.00426,-121.99368
37.00445,-121.99377
37.00472,-121.99386
37.0048,-121.99393
37.00484,-121.99392
37.0049,-121.99396
37.00498,-121.99398
37.00502,-121.99406
37.00507,-121.99406
37.00507,-121.99412
37.00509,-121.99416
37.00509,-121.99424
37.00506,-121.9943
37.00497,-121.99435
37.00493,-121.9944
37.00491,-121.99447
37.00485,-121.99473
37.00487,-121.99495
37.00492,-121.99517
37.00503,-121.9954
37.00516,-121.9956
37.0052,-121.99575
37.00528,-121.99587
37.00526,-121.99596
37.00531,-121.99606
37.00546,-121.99616
37.00564,-121.99624
37.00582,-121.99625
37.00599,-121.99628
37.0061,-121.99624
37.0062,-121.99628
37.00627,-121.99624
37.0064,-121.99624
37.00648,-121.99625
37.00665,-121.99622
37.00691,-121.9962
37.00699,-121.99617
37.00705,-121.99619
37.00718,-121.99617
37.0073,-121.99612
37.00735,-121.99613
37.00744,-121.99607
37.00755,-121.99606
37.0076,-121.99604
37.00781,-121.99604
37.00785,-121.99607
37.00788,-121.9961
37.00789,-121.99631
37.00784,-121.99662
37.00782,-121.99664
37.00765,-121.99666
37.00753,-121.99665
37.0073,-121.99675
37.00728,-121.99679
37.0073,-121.99679
