lat,long
37.07687,-121.86485
37.07683,-121.8651
37.07646,-121.8655
37.07643,-121.86561
37.07633,-121.86578
37.07632,-121.86592
37.07616,-121.86613
37.07608,-121.86635
37.07601,-121.8664
37.07592,-121.86656
37.07578,-121.86673
37.07575,-121.86679
37.07572,-121.86718
37.07564,-121.86734
37.07563,-121.86739
37.0756,-121.86746
37.07553,-121.86751
37.07553,-121.86756
37.07544,-121.86772
37.07543,-121.8679
37.07529,-121.86801
37.07517,-121.86819
37.07498,-121.8682
37.07484,-121.86823
37.07459,-121.86818
37.07442,-121.86816
37.0743,-121.86817
37.07416,-121.86815
37.07403,-121.86821
37.07388,-121.8682
37.07373,-121.86823
37.07362,-121.86821
37.07344,-121.86812
37.07341,-121.86814
37.07337,-121.86825
37.07331,-121.86833
37.07317,-121.86845
37.07314,-121.86852
37.07293,-121.86868
37.07276,-121.86869
37.07261,-121.8688
37.07248,-121.86882
37.07214,-121.86898
37.07211,-121.86902
37.07208,-121.86918
37.0721,-121.86925
37.07218,-121.86939
37.07221,-121.86948
37.0722,-121.86974
37.07204,-121.86999
37.07194,-121.87041
37.07182,-121.87066
37.07172,-121.87079
37.07161,-121.87086
37.07146,-121.87094
37.0713,-121.87088
37.07128,-121.87085
37.07126,-121.87075
37.0712,-121.87069
37.07096,-121.87071
37.07088,-121.8707
37.07076,-121.87059
37.07073,-121.87058
37.07057,-121.87063
37.0704,-121.8708
37.07034,-121.87091
37.07022,-121.87097
37.07011,-121.87104
37.06969,-121.87144
37.06947,-121.87153
37.06936,-121.87162
37.06931,-121.87176
37.06919,-121.8719
37.06876,-121.87213
37.0687,-121.87218
37.06858,-121.8724
