lat,long
36.97009,-122.11731
36.97037,-122.11717
36.97047,-122.11717
36.97054,-122.1172
36.97063,-122.11729
36.97079,-122.11758
36.97089,-122.1177
36.97108,-122.11783
36.97135,-122.11811
36.97149,-122.1182
36.97171,-122.11822
36.97206,-122.11814
36.97247,-122.1181
36.97265,-122.11801
36.97282,-122.11786
36.9731,-122.11749
36.97323,-122.11737
36.97377,-122.11717
36.97422,-122.11703
36.97468,-122.11677
36.97533,-122.1165
36.97545,-122.11647
36.9757,-122.11636
36.97599,-122.11627
36.97615,-122.11617
36.9762,-122.1161
36.97623,-122.11595
36.97623,-122.11579
36.97618,-122.11554
36.97615,-122.11484
36.97619,-122.11469
36.97624,-122.11456
36.97632,-122.11445
36.97639,-122.11439
36.97649,-122.11434
36.97691,-122.11435
36.97713,-122.11433
36.97729,-122.11436
36.97742,-122.11442
36.97752,-122.11442
36.97788,-122.11435
