lat,long
37.03082,-122.12138
37.03069,-122.12136
37.03061,-122.12139
37.03058,-122.12143
37.03052,-122.12142
37.03045,-122.12144
37.03034,-122.12153
37.03022,-122.12157
37.03016,-122.12163
37.03006,-122.122
37.03002,-122.12202
37.03001,-122.12197
37.02994,-122.12192
37.0299,-122.12191
37.02969,-122.12195
37.02952,-122.12203
37.02946,-122.122
37.02911,-122.12168
37.02895,-122.12162
37.02888,-122.12156
37.02877,-122.12137
37.0286,-122.1212
37.02853,-122.12108
37.02839,-122.12073
37.02847,-122.12072
37.02849,-122.12067
37.02846,-122.1206
37.02845,-122.12048
37.02841,-122.12041
37.02836,-122.12034
37.02828,-122.12031
37.0282,-122.12024
37.02806,-122.11997
37.02789,-122.11971
37.02784,-122.11962
37.02793,-122.11933
37.02792,-122.11921
37.02783,-122.11914
37.02773,-122.11908
37.02765,-122.11901
37.02757,-122.11898
37.0275,-122.11898
37.02735,-122.11906
37.02723,-122.11908
37.0271,-122.11906
37.02695,-122.11898
37.02685,-122.11879
37.02681,-122.1186
37.02669,-122.11847
37.02658,-122.11844
37.02638,-122.11823
37.02625,-122.11814
37.02624,-122.11806
37.02617,-122.11793
37.02607,-122.11788
37.02585,-122.11782
37.02572,-122.11774
37.02561,-122.11762
37.02553,-122.11761
37.02541,-122.11756
37.02525,-122.11745
37.02487,-122.1169
