lat,long
37.03258,-121.92143
37.03253,-121.92146
37.03241,-121.92174
37.03224,-121.92232
37.03214,-121.92254
37.03196,-121.92268
37.03171,-121.92314
37.03171,-121.92342
37.03168,-121.92372
37.03161,-121.92408
37.03159,-121.92444
37.03165,-121.92469
37.03163,-121.92484
37.0315,-121.92469
37.0314,-121.92461
37.03133,-121.92472
37.03117,-121.92487
37.03088,-121.92503
37.03074,-121.92525
37.03067,-121.92541
37.03067,-121.92548
37.03077,-121.92553
37.0307,-121.9257
37.03061,-121.92606
37.03048,-121.92641
37.0304,-121.92667
37.03033,-121.92683
37.03017,-121.92692
37.03003,-121.92691
37.02999,-121.927
37.03005,-121.9271
37.03013,-121.92719
37.0301,-121.92733
37.03001,-121.92746
37.02994,-121.92753
37.02981,-121.92755
37.02966,-121.9276
37.02964,-121.9277
37.02965,-121.92783
37.02958,-121.92792
37.02917,-121.92787
37.02895,-121.92774
37.02846,-121.92775
37.02822,-121.92765
37.02811,-121.92756
37.02792,-121.92748
37.02787,-121.92743
37.0279,-121.92747
37.02793,-121.92761
37.02788,-121.9276
37.02759,-121.92766
37.02743,-121.92766
37.02731,-121.92762
37.02724,-121.92755
37.02721,-121.92746
37.02721,-121.9274
