lat,long
37.0066,-121.91586
37.00668,-121.91581
37.00688,-121.91563
37.00701,-121.91554
37.00739,-121.91536
37.00742,-121.91537
37.00746,-121.91542
37.00749,-121.9155
37.00747,-121.91562
37.00743,-121.91573
37.00743,-121.91575
37.00746,-121.91576
37.00756,-121.91576
37.00768,-121.9157
37.00782,-121.91558
37.00798,-121.91548
37.00823,-121.91542
37.00828,-121.91538
37.00838,-121.91536
37.00832,-121.91535
37.00832,-121.91542
37.00835,-121.91547
37.00838,-121.91547
37.00839,-121.91551
37.00843,-121.91549
37.00848,-121.91518
37.00856,-121.91497
37.00871,-121.91469
37.00876,-121.91464
37.00874,-121.91448
37.00875,-121.91451
37.00878,-121.9145
37.00888,-121.9144
37.00904,-121.9141
37.0091,-121.91408
37.0091,-121.91402
37.00914,-121.91391
37.00912,-121.9134
37.0091,-121.91328
37.00911,-121.91314
37.00924,-121.91289
37.00921,-121.91282
37.00912,-121.91268
37.00901,-121.91257
37.00896,-121.91247
37.00893,-121.91227
37.00893,-121.91236
37.00891,-121.9124
37.00899,-121.91231
37.00898,-121.91222
37.00913,-121.91208
37.00925,-121.91203
37.00926,-121.91198
37.00933,-121.91189
37.00936,-121.91182
37.00948,-121.91181
37.00956,-121.91177
37.0096,-121.91171
37.00972,-121.91166
37.00971,-121.91165
37.00979,-121.91161
37.00991,-121.91146
