lat,long
37.08024,-121.88882
37.0803,-121.88895
37.08026,-121.88904
37.08028,-121.88925
37.08032,-121.88928
37.08032,-121.88934
37.08025,-121.8898
37.08029,-121.89005
37.08029,-121.89015
37.08018,-121.89066
37.08018,-121.89101
37.08027,-121.89105
37.08031,-121.8911
37.0804,-121.89129
37.08045,-121.89134
37.08059,-121.89169
37.08067,-121.89184
37.08071,-121.89208
37.08073,-121.89215
37.08089,-121.89235
37.08105,-121.89262
37.08108,-121.89271
37.08109,-121.89287
37.08112,-121.89298
37.08119,-121.89306
37.08124,-121.89305
37.08132,-121.89294
37.08144,-121.89294
37.08162,-121.893
37.08172,-121.89309
37.08178,-121.89325
37.08172,-121.89335
37.08174,-121.89349
37.08174,-121.89364
37.0817,-121.8938
37.08173,-121.89388
37.08179,-121.89395
37.08207,-121.89404
37.08214,-121.89412
37.08216,-121.89424
37.08205,-121.89436
37.08211,-121.8944
37.08208,-121.89443
37.08213,-121.89451
37.08214,-121.89459
37.08211,-121.89463
37.08213,-121.89471
37.0822,-121.8948
37.08225,-121.89497
37.08221,-121.89514
37.08223,-121.89529
37.08229,-121.89534
37.08239,-121.89535
37.08256,-121.8955
37.08262,-121.89551
37.08269,-121.89556
37.08269,-121.89565
37.08283,-121.89595
37.08283,-121.89585
37.08287,-121.89583
37.08294,-121.89584
37.08297,-121.89588
37.08305,-121.89613
37.08301,-121.89628
37.08307,-121.89638
37.08313,-121.89644
37.08325,-121.89661
37.0833,-121.89678
37.08331,-121.89694
37.08349,-121.89703
37.08361,-121.89712
37.08388,-121.89719
37.08391,-121.89717
37.08397,-121.89706
37.08401,-121.89703
37.08424,-121.89687
37.08439,-121.89673
37.08444,-121.89671
37.0845,-121.89674
37.08459,-121.89707
37.08468,-121.89704
37.08479,-121.89694
37.08489,-121.89697
37.08496,-121.89702
37.08514,-121.89702
37.08525,-121.89695
37.08533,-121.89696
37.08543,-121.897
37.0855,-121.89713
37.08556,-121.89796
37.08559,-121.89802
37.08575,-121.89809
37.08593,-121.89832
37.08605,-121.89835
37.08611,-121.8984
37.08628,-121.89845
37.08646,-121.89837
