lat,long
37.00288,-122.05991
37.00304,-122.05964
37.00308,-122.05935
37.00324,-122.05902
37.0032,-122.0588
37.00321,-122.05876
37.00335,-122.0587
37.0034,-122.05871
37.0035,-122.05877
37.00356,-122.05879
37.00363,-122.05864
37.00368,-122.0586
37.00377,-122.05855
37.00397,-122.05807
37.00424,-122.05752
37.0043,-122.05732
37.00428,-122.05708
37.00433,-122.05704
37.00452,-122.05709
37.0046,-122.05713
37.00469,-122.05721
37.00483,-122.05738
37.00489,-122.05754
37.00496,-122.05785
37.00496,-122.05797
37.00504,-122.05822
37.00506,-122.05837
37.00513,-122.05848
37.00528,-122.05878
37.0053,-122.05888
37.00541,-122.05908
37.00546,-122.05939
37.00566,-122.05976
