lat,long
37.07997,-121.87301
37.08012,-121.87309
37.08028,-121.87332
37.08038,-121.87327
37.08042,-121.87328
37.08062,-121.87359
37.08083,-121.87371
37.0812,-121.87369
37.08131,-121.87365
37.08156,-121.87363
37.08181,-121.87355
37.08196,-121.87359
37.08202,-121.8737
37.08211,-121.87392
37.08213,-121.87415
37.08201,-121.87441
37.08206,-121.87445
37.08242,-121.87432
37.08268,-121.87421
37.08291,-121.87404
37.08307,-121.87389
37.08315,-121.87379
37.08326,-121.87358
37.08325,-121.87339
37.08329,-121.87339
37.08339,-121.87362
37.08349,-121.8739
37.0839,-121.87421
37.08402,-121.87439
37.08428,-121.87464
37.08434,-121.87479
37.08435,-121.87511
37.08452,-121.87524
37.08471,-121.87519
37.08481,-121.87514
37.08488,-121.87508
