lat,long
37.03022,-122.11106
37.03008,-122.11118
37.02995,-122.11119
37.02994,-122.11117
37.02995,-122.11118
37.02998,-122.11116
37.02999,-122.11113
37.02996,-122.11115
37.02996,-122.11118
37.02997,-122.11118
37.02997,-122.11115
37.02998,-122.11118
37.03002,-122.11117
37.02998,-122.11118
37.02998,-122.11112
37.03001,-122.1111
37.02994,-122.11109
37.02986,-122.11106
37.0298,-122.11106
37.02978,-122.11084
37.02979,-122.11085
37.02979,-122.11083
37.02978,-122.11081
37.02977,-122.11083
37.02975,-122.11081
37.02973,-122.11083
37.02973,-122.11082
37.02979,-122.11083
37.02979,-122.11091
37.0298,-122.11094
37.02981,-122.11086
37.0298,-122.11082
37.02978,-122.11081
37.02978,-122.11084
37.0298,-122.11093
37.0298,-122.11082
37.02976,-122.1108
37.02967,-122.11087
37.02952,-122.11092
37.02955,-122.1109
37.02954,-122.11088
37.0295,-122.11087
37.02949,-122.11088
37.02946,-122.11086
37.02937,-122.11077
37.02934,-122.11068
37.02935,-122.11066
37.0294,-122.11077
37.02942,-122.11079
37.0294,-122.11077
37.02938,-122.11078
37.02941,-122.11078
37.02944,-122.1108
37.0294,-122.11078
37.0294,-122.11076
37.02941,-122.11073
37.02945,-122.11071
37.02962,-122.11072
37.02966,-122.11068
37.02964,-122.11065
37.02959,-122.11059
37.0296,-122.11063
37.02959,-122.11067
37.02953,-122.11059
37.02954,-122.11058
37.02953,-122.11056
37.0295,-122.11057
37.02949,-122.1105
37.02945,-122.11051
37.02948,-122.11058
37.02946,-122.11055
37.02946,-122.11055
37.02946,-122.11049
37.02943,-122.11049
37.02944,-122.11047
37.02945,-122.11052
37.02947,-122.11053
37.02949,-122.1105
37.02945,-122.11048
37.02953,-122.11045
37.02955,-122.1104
37.02946,-122.11027
37.02939,-122.11011
37.02936,-122.11014
37.0294,-122.11011
37.02946,-122.11012
37.02951,-122.11016
37.02951,-122.11021
37.02944,-122.11019
37.02944,-122.11021
37.02931,-122.11007
37.02907,-122.10989
