lat,long
37.0327,-121.92145
37.0327,-121.92155
37.03261,-121.92206
37.03261,-121.92225
37.03263,-121.92236
37.03266,-121.92243
37.03267,-121.92253
37.03257,-121.92276
37.03254,-121.92308
37.03254,-121.92355
37.03259,-121.92373
37.03261,-121.92402
37.03255,-121.92483
37.03256,-121.92493
37.03261,-121.92514
37.03264,-121.9252
37.03269,-121.92527
37.0327,-121.92532
37.03266,-121.92585
37.03269,-121.92616
37.03274,-121.9264
37.03286,-121.92671
37.03298,-121.92687
37.03301,-121.92695
37.03302,-121.92734
37.03329,-121.92772
37.0333,-121.92782
37.03311,-121.92797
37.03301,-121.92799
37.03295,-121.92797
37.03278,-121.92789
37.03256,-121.92786
37.03239,-121.92778
37.03233,-121.92778
37.03194,-121.92765
37.03188,-121.92764
37.03178,-121.92767
37.03168,-121.92774
37.03162,-121.92775
37.03155,-121.92773
37.03137,-121.92773
37.03132,-121.92776
37.03131,-121.92782
37.03134,-121.92789
37.03139,-121.92793
37.03148,-121.92807
37.03156,-121.9283
37.03176,-121.92846
37.03186,-121.92862
37.03185,-121.92874
37.03176,-121.9288
37.03131,-121.9288
37.03117,-121.92877
37.03113,-121.92874
37.03104,-121.92871
37.03098,-121.92867
37.03082,-121.92847
37.03048,-121.92829
37.03043,-121.92823
37.03037,-121.92808
37.03034,-121.92805
37.03026,-121.928
37.03017,-121.928
37.03004,-121.92803
37.02996,-121.92808
37.02972,-121.92818
37.0296,-121.92815
