lat,long
37.04484,-121.88551
37.04484,-121.88525
37.04478,-121.88504
37.04472,-121.88504
37.04465,-121.88509
37.04449,-121.88531
37.0443,-121.88536
37.04399,-121.88534
37.04373,-121.8854
37.04355,-121.88537
37.04347,-121.88531
37.04342,-121.88529
37.04338,-121.88529
37.04334,-121.88534
37.0432,-121.88539
37.04305,-121.88553
37.04285,-121.88561
37.04275,-121.88566
37.04269,-121.88571
37.04262,-121.88596
37.04257,-121.88608
37.0424,-121.8862
37.04231,-121.88628
37.04197,-121.88665
37.04206,-121.88701
37.04203,-121.88705
37.04193,-121.88702
37.04181,-121.88703
37.04179,-121.88705
37.04179,-121.88722
37.04185,-121.88739
37.04193,-121.88751
37.04199,-121.88765
37.04201,-121.8878
37.042,-121.88791
37.04196,-121.88813
37.04198,-121.88825
37.04203,-121.88834
37.04206,-121.88888
37.04204,-121.88902
37.04204,-121.88912
37.04199,-121.88929
37.04196,-121.88937
37.04197,-121.88943
37.04191,-121.88959
37.04186,-121.88984
37.04187,-121.89003
37.04189,-121.89011
37.04199,-121.89026
37.04209,-121.89057
37.0421,-121.89093
37.0422,-121.89133
37.04224,-121.89163
37.04224,-121.89168
37.04215,-121.89175
37.04206,-121.89194
37.042,-121.89191
37.04191,-121.89192
37.0419,-121.89196
37.04203,-121.89231
37.04203,-121.89237
37.04195,-121.89255
37.04194,-121.89266
37.0419,-121.89273
37.04177,-121.89312
37.04184,-121.89344
37.04181,-121.8936
37.04179,-121.89366
37.04165,-121.8938
37.04151,-121.89382
37.04142,-121.8939
37.04137,-121.89391
37.0413,-121.89401
37.04128,-121.89399
37.04118,-121.89399
37.04093,-121.89418
37.04075,-121.89446
37.04063,-121.89471
37.04059,-121.89475
37.0405,-121.89477
37.04045,-121.89466
37.04041,-121.89443
37.04041,-121.8943
37.04045,-121.89416
37.04042,-121.89414
37.04029,-121.8942
37.04009,-121.89426
37.03997,-121.89431
37.03981,-121.89443
37.03965,-121.89451
37.03951,-121.89457
37.03924,-121.89466
37.03871,-121.89493
37.03847,-121.89502
37.03829,-121.89515
37.03808,-121.8954
37.03798,-121.89553
37.03795,-121.89561
37.03796,-121.89565
