lat,long
37.01112,-122.06057
37.01115,-122.06056
37.01121,-122.06057
37.01139,-122.06052
37.01145,-122.06045
37.01155,-122.06051
37.0116,-122.0605
37.01172,-122.06045
37.01189,-122.06045
37.01192,-122.06042
37.01194,-122.06034
37.01191,-122.06015
37.01192,-122.06011
37.01209,-122.05959
37.01211,-122.05956
37.01214,-122.05956
37.01228,-122.05948
37.01232,-122.0594
37.01231,-122.05919
37.01225,-122.05908
37.01229,-122.05903
37.0124,-122.05912
37.01245,-122.05913
37.01265,-122.059
37.01272,-122.05904
37.01282,-122.05902
37.01306,-122.05887
