lat,long
37.00861,-122.05815
37.00846,-122.05807
37.00835,-122.05795
37.00827,-122.05774
37.00824,-122.05768
37.00815,-122.0576
37.00799,-122.0573
37.00797,-122.05716
37.008,-122.05688
37.00793,-122.05661
37.00788,-122.05629
37.00782,-122.05613
37.00779,-122.056
37.00779,-122.05593
37.00786,-122.05569
37.00786,-122.05561
37.00785,-122.05527
37.00792,-122.05508
37.00792,-122.05503
37.00785,-122.05468
37.00786,-122.05435
37.00783,-122.05422
37.00782,-122.054
37.00786,-122.0538
37.00784,-122.05368
37.0079,-122.05338
37.00792,-122.05337
37.00795,-122.05338
37.00799,-122.05346
37.00801,-122.05347
37.00802,-122.05345
37.00802,-122.05323
37.00805,-122.05311
37.00803,-122.05289
