lat,long
36.9978,-122.04045
36.99784,-122.04036
36.99787,-122.04033
36.9979,-122.04033
36.99794,-122.04045
36.99792,-122.04063
36.99794,-122.04069
36.99807,-122.04092
36.99813,-122.04095
36.99817,-122.04095
36.99819,-122.04091
36.9982,-122.04084
36.99818,-122.04075
36.99821,-122.04059
36.99822,-122.04033
36.99819,-122.04002
36.99805,-122.03983
36.99802,-122.03974
36.998,-122.03949
36.99804,-122.03932
36.99815,-122.03933
36.99817,-122.03936
36.99821,-122.03949
36.99832,-122.03969
36.99849,-122.03974
36.99856,-122.03981
36.99861,-122.03989
36.99864,-122.03992
36.99866,-122.03991
36.99865,-122.03965
36.99858,-122.03937
36.99859,-122.03913
36.99851,-122.03878
36.99852,-122.03871
36.99854,-122.03871
36.99875,-122.03896
36.99884,-122.03916
36.99891,-122.03925
36.99894,-122.03932
36.99901,-122.03941
36.9991,-122.03949
36.99927,-122.03975
36.99938,-122.03977
36.99967,-122.0397
36.99982,-122.03972
37.00029,-122.04017
37.00034,-122.04025
37.0004,-122.0404
37.00054,-122.04034
37.00057,-122.04036
37.00052,-122.04066
37.00053,-122.04067
37.00064,-122.04051
37.00072,-122.04044
37.00075,-122.04045
37.00079,-122.04048
37.00081,-122.0405
37.00078,-122.04068
37.00078,-122.04095
37.00081,-122.0411
37.0009,-122.04137
37.00092,-122.04161
37.00091,-122.04162
37.0009,-122.04159
37.00096,-122.04146
37.00098,-122.04131
37.00097,-122.04121
37.00099,-122.04105
37.00109,-122.04088
37.00112,-122.04087
37.00115,-122.04088
37.00117,-122.0409
37.00119,-122.04113
37.00128,-122.04128
37.00135,-122.04154
37.00134,-122.04166
37.00146,-122.04146
37.00152,-122.04132
37.00163,-122.04115
37.00168,-122.0411
37.00175,-122.04107
37.00186,-122.04112
37.00198,-122.04122
37.00213,-122.04141
37.00219,-122.04146
37.00226,-122.04157
37.00231,-122.04158
