lat,long
36.99775,-122.04102
36.99771,-122.04073
36.99774,-122.04037
36.99771,-122.04021
36.99767,-122.04004
36.99763,-122.04004
36.99759,-122.03994
36.99747,-122.03978
36.99745,-122.03973
36.99746,-122.03965
36.99745,-122.03961
36.99736,-122.03963
36.99729,-122.03961
36.99728,-122.03955
36.99701,-122.03924
36.99694,-122.0391
36.99668,-122.03906
36.99663,-122.03901
36.99652,-122.03898
36.99645,-122.03887
36.99639,-122.03882
36.99631,-122.03865
36.99625,-122.03846
36.99619,-122.03834
36.99617,-122.03824
36.99608,-122.03809
36.99602,-122.03796
36.99593,-122.03779
36.99582,-122.03774
36.99578,-122.0376
36.99567,-122.0375
36.9956,-122.0374
36.99553,-122.03736
36.99539,-122.03729
36.99527,-122.03729
36.99518,-122.03721
36.99511,-122.03723
36.99499,-122.03714
36.99475,-122.03712
36.99462,-122.03715
36.99449,-122.0372
36.99443,-122.03722
36.99439,-122.03713
36.99432,-122.03711
36.9942,-122.03703
36.99404,-122.03687
36.99393,-122.03682
36.99392,-122.03672
36.99382,-122.03662
36.99373,-122.03648
36.9937,-122.03631
36.99362,-122.0362
36.99351,-122.03611
36.99344,-122.03609
36.99337,-122.03597
36.99326,-122.03582
36.99321,-122.03574
36.99308,-122.03562
36.99291,-122.03532
36.99284,-122.03515
36.99271,-122.03506
36.99256,-122.03499
36.99245,-122.0349
36.99236,-122.03488
36.99209,-122.03498
36.99206,-122.03508
36.99201,-122.03516
36.99193,-122.03549
36.99186,-122.03558
36.99175,-122.03587
36.99174,-122.03605
36.99175,-122.03629
36.99174,-122.03635
36.99171,-122.03638
36.99168,-122.0364
36.99157,-122.03636
36.99138,-122.03637
36.99131,-122.03642
36.99101,-122.03653
36.99094,-122.03657
36.99078,-122.03659
36.99064,-122.03664
36.99048,-122.03672
36.9904,-122.03684
36.99033,-122.03683
36.9903,-122.03686
36.99037,-122.03688
36.99045,-122.03681
