lat,long
36.98608,-122.11023
36.98604,-122.11066
36.98611,-122.11076
36.98648,-122.11078
36.98673,-122.11075
36.98675,-122.11076
36.98692,-122.11069
36.98714,-122.11039
36.98759,-122.10949
36.98765,-122.10939
36.98775,-122.10927
36.98777,-122.10927
36.98785,-122.10912
36.98807,-122.10903
36.98804,-122.1094
36.98806,-122.1099
36.988,-122.11036
36.98789,-122.11054
36.98783,-122.11059
36.98772,-122.11081
36.98732,-122.11134
36.98731,-122.1114
36.9874,-122.11138
36.9875,-122.11131
36.98769,-122.11108
36.98804,-122.11072
36.98813,-122.11066
36.9883,-122.11048
36.98849,-122.11021
36.98894,-122.10987
36.98908,-122.10948
36.9891,-122.10935
36.98938,-122.10902
36.98955,-122.10857
36.98968,-122.1083
36.98999,-122.10796
36.99026,-122.10762
36.99043,-122.10752
36.99048,-122.10739
36.99056,-122.10691
36.99064,-122.10676
36.9908,-122.10662
36.9909,-122.10646
