lat,long
36.96628,-122.08346
36.96665,-122.08347
36.96682,-122.08353
36.96692,-122.08355
36.96712,-122.08349
36.96758,-122.08346
36.96766,-122.08343
36.96769,-122.08337
36.96765,-122.08332
36.96765,-122.0833
36.96766,-122.08327
36.96772,-122.08325
36.9679,-122.08326
36.96828,-122.08316
36.96852,-122.08317
36.96879,-122.08324
36.96892,-122.0832
36.96904,-122.08313
36.96929,-122.08304
36.96953,-122.08302
36.96984,-122.08311
36.96995,-122.08312
36.97003,-122.08316
36.97012,-122.08317
36.97039,-122.08331
36.97054,-122.08343
36.97063,-122.08347
36.97092,-122.08354
36.97111,-122.08352
36.97117,-122.08353
36.97141,-122.08361
36.97154,-122.08374
36.97163,-122.08379
36.97185,-122.08379
36.97199,-122.0837
36.97213,-122.08364
36.97246,-122.0836
36.97271,-122.08351
36.97274,-122.08347
36.97272,-122.08331
36.97272,-122.08318
36.97275,-122.0831
36.97293,-122.08295
36.97319,-122.08283
36.97342,-122.08254
36.97352,-122.08244
36.97366,-122.08236
36.97371,-122.0823
36.97386,-122.08206
36.97393,-122.08178
36.97404,-122.08155
36.97407,-122.08126
36.97397,-122.08064
36.97401,-122.08048
36.9741,-122.0804
36.97436,-122.08031
36.97458,-122.0802
36.97483,-122.08017
36.97502,-122.08011
36.97566,-122.08009
36.97605,-122.08002
36.97622,-122.08004
36.97647,-122.07998
36.97654,-122.07995
36.97675,-122.07974
36.9768,-122.07971
36.97682,-122.07972
36.97682,-122.07973
36.97677,-122.07992
36.97642,-122.08053
36.97639,-122.08063
36.97639,-122.08068
36.97644,-122.08078
36.97658,-122.08088
36.97676,-122.0809
36.97705,-122.08084
36.97709,-122.08088
