lat,long
37.0427,-121.89449
37.04275,-121.89444
37.0429,-121.89434
37.04294,-121.89434
37.04296,-121.89438
37.04301,-121.89434
37.04299,-121.89448
37.04294,-121.89458
37.04285,-121.89467
37.04259,-121.89486
37.04255,-121.89479
37.04254,-121.89474
37.04256,-121.8947
37.04261,-121.89472
37.04264,-121.89475
37.04265,-121.89479
37.04264,-121.89485
37.04242,-121.89517
37.04229,-121.89542
37.04223,-121.89548
37.04215,-121.89552
37.04205,-121.89552
37.04195,-121.89549
37.04171,-121.89539
37.04159,-121.89542
37.04148,-121.89548
37.04131,-121.89562
37.04119,-121.89575
37.04114,-121.89582
37.04111,-121.8959
37.04107,-121.89619
37.04104,-121.89627
37.04097,-121.89635
37.04087,-121.89655
37.0408,-121.89663
37.04072,-121.89659
37.04057,-121.89646
37.03996,-121.89607
37.03991,-121.89591
37.03985,-121.8958
37.03981,-121.89569
37.03967,-121.89549
