lat,long
37.05851,-121.88258
37.05858,-121.88248
37.05865,-121.88241
37.05863,-121.88235
37.05863,-121.8823
37.05871,-121.88209
37.05864,-121.88196
37.05857,-121.88187
37.0585,-121.88183
37.05844,-121.88183
37.05839,-121.88179
37.05812,-121.88178
37.05806,-121.88175
37.05798,-121.8817
37.05785,-121.88156
37.05783,-121.88151
37.05794,-121.8813
37.05796,-121.88116
37.058,-121.88106
37.05803,-121.88093
37.05804,-121.88084
37.05796,-121.8807
37.05798,-121.88058
37.05797,-121.8805
37.05815,-121.88029
37.05833,-121.88003
37.05838,-121.87989
37.05835,-121.87978
37.05828,-121.87968
37.05827,-121.87963
37.05807,-121.87948
37.05794,-121.87929
37.05785,-121.87924
37.05774,-121.87912
37.05766,-121.87908
37.05759,-121.87909
37.0574,-121.87905
37.05725,-121.87892
37.05731,-121.8788
37.05729,-121.87869
37.0573,-121.8785
37.05735,-121.87841
37.05734,-121.87829
37.05729,-121.87822
37.05716,-121.87812
37.05716,-121.87778
37.05719,-121.87763
37.05735,-121.87741
37.05745,-121.87734
37.05769,-121.87722
37.05791,-121.87728
37.05803,-121.87727
37.0582,-121.87719
37.05827,-121.87717
37.05831,-121.87718
37.05837,-121.87715
37.05848,-121.87704
37.05855,-121.87684
37.05867,-121.87669
37.05869,-121.87664
37.05873,-121.87658
37.0588,-121.87654
37.05881,-121.87648
37.05891,-121.87641
37.05894,-121.8764
37.05897,-121.87643
37.059,-121.87643
37.05905,-121.87639
37.05909,-121.87639
37.05914,-121.87641
37.05935,-121.87638
37.05962,-121.87624
37.05977,-121.87623
37.05983,-121.8762
37.06016,-121.87612
37.06035,-121.8761
37.06037,-121.87624
37.06041,-121.87632
37.06067,-121.87645
37.06081,-121.87643
37.06119,-121.87614
37.06139,-121.87603
37.0615,-121.87591
37.06158,-121.87587
37.06178,-121.87569
37.06184,-121.8756
37.06219,-121.87553
37.06243,-121.87545
37.0626,-121.87541
37.06272,-121.87553
37.06288,-121.87557
37.06304,-121.87556
37.06313,-121.87553
37.06335,-121.87557
37.06344,-121.87561
37.06345,-121.87569
37.06364,-121.87574
37.06376,-121.87573
37.06389,-121.87566
37.06395,-121.87561
37.06407,-121.87562
37.06417,-121.87568
37.06423,-121.87579
37.06443,-121.87589
37.06458,-121.87601
37.06473,-121.87601
37.06484,-121.876
37.06496,-121.87586
37.06501,-121.87576
37.06503,-121.87561
37.06506,-121.87554
37.06515,-121.87555
37.06526,-121.87549
37.06532,-121.87542
37.06554,-121.87529
37.0657,-121.875
37.06569,-121.87485
37.06565,-121.8747
37.06566,-121.87457
37.06562,-121.87435
37.06563,-121.87427
37.0659,-121.87392
37.06595,-121.87377
37.0661,-121.87372
37.06632,-121.87372
37.06668,-121.87381
37.0669,-121.87374
37.06712,-121.87365
37.06752,-121.87366
37.06773,-121.87367
37.06795,-121.87371
37.06806,-121.87371
37.06839,-121.87352
37.06847,-121.87344
37.06853,-121.87334
37.06884,-121.87314
37.06896,-121.87293
37.06894,-121.87277
37.06899,-121.87244
37.06897,-121.87235
37.069,-121.87227
37.06918,-121.87222
37.06922,-121.87223
37.06949,-121.87211
37.06968,-121.87208
37.07004,-121.87207
37.07009,-121.87206
37.07026,-121.87196
37.07052,-121.87202
37.07061,-121.87196
37.07068,-121.87165
37.07053,-121.8716
37.07048,-121.87156
37.07041,-121.87132
37.07041,-121.87122
37.07043,-121.87119
37.07047,-121.87118
37.07058,-121.8712
37.07078,-121.87127
37.07088,-121.87127
37.07118,-121.87139
37.07125,-121.87145
37.07137,-121.8715
37.07142,-121.87155
37.07151,-121.87155
37.0716,-121.87153
37.07175,-121.87145
37.07179,-121.87139
37.07192,-121.87133
37.0721,-121.87118
37.07224,-121.87079
37.07228,-121.87071
37.07235,-121.87038
37.0723,-121.87028
37.07257,-121.86974
37.07265,-121.86944
37.07262,-121.86922
37.07256,-121.86908
37.0727,-121.86904
37.07285,-121.86905
37.07293,-121.86901
37.07299,-121.86901
37.07316,-121.86894
37.07331,-121.86894
37.07337,-121.86899
37.07341,-121.86908
37.07362,-121.8693
37.07372,-121.86936
37.07388,-121.8694
37.07398,-121.8694
37.07419,-121.86927
37.07424,-121.86918
37.07428,-121.869
37.07432,-121.86896
37.07439,-121.86893
37.07448,-121.86892
37.07467,-121.86886
37.07497,-121.86879
37.07506,-121.86876
37.0752,-121.86874
37.07548,-121.86883
37.07565,-121.86893
37.07578,-121.86914
37.07603,-121.86925
37.07662,-121.86904
37.07671,-121.86878
37.07666,-121.86846
37.07643,-121.8679
37.07646,-121.86774
37.07655,-121.86753
37.07669,-121.86739
37.07677,-121.86727
37.07677,-121.86695
37.07673,-121.8667
37.07666,-121.86639
37.07668,-121.86622
