lat,long
37.03057,-121.89467
37.03064,-121.89444
37.03062,-121.89427
37.03066,-121.89421
37.03075,-121.89427
37.03079,-121.8945
37.03076,-121.8948
37.03071,-121.89499
37.03057,-121.89519
37.03049,-121.89535
37.03047,-121.89551
37.0305,-121.89562
37.03058,-121.89572
37.03082,-121.89597
37.03087,-121.89601
37.03108,-121.89607
37.03117,-121.89602
37.0312,-121.89598
37.03144,-121.89558
37.03148,-121.89533
37.0315,-121.89501
37.03153,-121.89488
37.03176,-121.8943
37.03186,-121.89415
37.03201,-121.89385
37.03209,-121.89379
37.03215,-121.89378
37.03223,-121.89368
37.03238,-121.89359
37.03253,-121.89359
37.03259,-121.89361
37.03262,-121.89364
37.03263,-121.89374
37.03258,-121.89379
37.0325,-121.89382
37.03232,-121.89394
37.03219,-121.89406
37.03214,-121.89415
37.03208,-121.89425
37.032,-121.89445
37.032,-121.89458
37.03202,-121.89472
37.03206,-121.8948
37.03222,-121.89495
37.03238,-121.89514
37.03272,-121.8956
37.03277,-121.8957
37.03284,-121.89576
37.03289,-121.89578
37.03295,-121.89575
37.03296,-121.89568
37.03293,-121.89557
37.03288,-121.89545
37.03288,-121.89532
37.03295,-121.89513
37.03296,-121.89507
37.03289,-121.89494
37.03285,-121.8949
37.03279,-121.89477
37.03276,-121.89462
37.03277,-121.89458
37.03286,-121.8945
37.03291,-121.8945
37.03308,-121.89443
37.03319,-121.89433
37.03323,-121.89428
37.03331,-121.89406
37.03337,-121.89396
37.03343,-121.89393
37.03353,-121.89391
37.03363,-121.89397
37.03384,-121.89415
37.03407,-121.8943
37.03414,-121.89431
37.0343,-121.89432
37.03458,-121.8942
37.03494,-121.89417
37.03511,-121.89423
37.03521,-121.89431
37.03532,-121.89433
37.03537,-121.89432
37.03542,-121.89423
37.03545,-121.89421
37.03556,-121.89408
37.03564,-121.89406
37.03574,-121.89401
37.03588,-121.89397
37.03617,-121.8938
