lat,long
36.99848,-122.00284
36.99848,-122.00273
36.99845,-122.00247
36.99847,-122.00234
36.99847,-122.00207
36.9985,-122.00202
36.99872,-122.00174
36.99879,-122.00167
36.99888,-122.00152
36.99903,-122.00136
36.99911,-122.00121
36.99917,-122.00114
36.99923,-122.00108
36.99932,-122.00094
36.99934,-122.00079
36.99932,-122.00057
36.99936,-122.00048
36.9994,-122.00043
36.99948,-122.0004
36.99961,-122.0004
36.99972,-122.00042
36.9998,-122.00042
36.99982,-122.00041
36.99986,-122.00037
36.99986,-122.00022
36.99983,-122.00009
36.99978,-121.99996
36.99962,-121.99975
36.99953,-121.99932
