lat,long
37.07368,-121.88986
37.0738,-121.88979
37.07384,-121.88971
37.07383,-121.88959
37.07386,-121.88953
37.0739,-121.88954
37.07401,-121.88966
37.07404,-121.88972
37.07407,-121.88987
37.07405,-121.89011
37.07401,-121.89027
37.07394,-121.89044
37.0739,-121.89064
37.07391,-121.89071
37.07397,-121.89083
37.07402,-121.89088
37.07411,-121.8909
37.0742,-121.89087
37.07433,-121.89086
37.07448,-121.89089
37.07467,-121.89084
37.07475,-121.89065
37.07479,-121.8905
37.07487,-121.8903
37.07503,-121.89006
37.07514,-121.89006
37.07519,-121.89007
37.07527,-121.89019
37.07526,-121.89037
37.07534,-121.89057
37.07535,-121.89074
37.07533,-121.891
37.07535,-121.89113
37.0754,-121.89113
37.07546,-121.89115
37.0755,-121.89124
37.07555,-121.89137
37.07564,-121.89173
37.07576,-121.89199
37.0758,-121.89213
37.07581,-121.8926
37.07585,-121.89277
37.07585,-121.89296
37.07579,-121.89303
37.07559,-121.89318
37.07556,-121.89336
37.07555,-121.89358
37.07552,-121.89364
37.0755,-121.89378
37.07556,-121.8938
37.07568,-121.89365
37.07578,-121.89358
37.07593,-121.89353
37.07607,-121.89351
37.07612,-121.89348
37.07616,-121.89293
37.0762,-121.89286
37.07652,-121.89256
37.07663,-121.89242
37.07686,-121.8916
37.07693,-121.89157
37.07703,-121.89164
37.07705,-121.89179
37.077,-121.8923
37.07693,-121.89256
37.07689,-121.89281
37.07695,-121.89311
37.07695,-121.89349
37.07701,-121.8937
37.07707,-121.89414
37.07707,-121.89421
37.07703,-121.89446
37.07705,-121.89461
37.07715,-121.89405
37.07713,-121.89392
37.07705,-121.89375
37.07718,-121.89352
37.07724,-121.8933
37.07726,-121.89312
37.07743,-121.89275
