lat,long
37.0062,-122.05255
37.00624,-122.05227
37.00637,-122.05212
37.00646,-122.05193
37.00663,-122.05179
37.0068,-122.05144
37.0068,-122.05138
37.00682,-122.05134
37.00689,-122.0513
37.00695,-122.05117
37.00698,-122.051
37.00699,-122.05072
37.00713,-122.05039
37.00721,-122.05029
37.00722,-122.05021
37.00727,-122.05013
37.00725,-122.0501
37.00728,-122.05007
37.00728,-122.0498
37.00726,-122.04968
37.0073,-122.04948
37.00729,-122.04943
37.00734,-122.04937
37.00741,-122.04936
37.00743,-122.04931
37.00758,-122.04917
37.00786,-122.04898
