lat,long
37.0307,-122.10403
37.03056,-122.10389
37.03052,-122.10388
37.03038,-122.10395
37.03034,-122.104
37.03025,-122.10397
37.03018,-122.10401
37.03015,-122.104
37.03011,-122.10392
37.03004,-122.10386
37.02998,-122.10392
37.02997,-122.10399
37.02991,-122.10407
37.0298,-122.1039
37.0297,-122.10394
37.02965,-122.10393
37.02961,-122.10397
37.02953,-122.1039
37.02946,-122.10366
37.02946,-122.10358
37.02939,-122.10352
37.02931,-122.1035
37.02919,-122.10355
37.02902,-122.1037
37.02886,-122.10382
37.02883,-122.10399
37.02877,-122.10405
37.02861,-122.10408
37.02842,-122.10417
37.02828,-122.10413
37.02823,-122.10407
37.02816,-122.10404
37.0281,-122.10414
37.02797,-122.10426
37.02789,-122.10425
37.0278,-122.10422
37.02762,-122.10426
37.02749,-122.10438
37.02741,-122.10439
37.02735,-122.10453
37.0272,-122.1047
37.02711,-122.10475
37.02704,-122.10478
37.02701,-122.10481
37.02686,-122.10483
37.02677,-122.10481
37.02673,-122.10482
37.02664,-122.10472
