lat,long
37.02926,-122.10849
37.02909,-122.10848
37.02903,-122.10839
37.02901,-122.10823
37.02894,-122.10821
37.02887,-122.10814
37.0288,-122.10809
37.02874,-122.108
37.02868,-122.10794
37.02862,-122.10782
37.02826,-122.10754
37.02817,-122.10753
37.02793,-122.10758
37.02783,-122.10753
37.02772,-122.10752
37.02767,-122.10748
37.02764,-122.10753
37.02758,-122.10754
37.0275,-122.10751
37.0274,-122.10728
37.0273,-122.10732
37.02707,-122.10727
37.027,-122.10723
37.02694,-122.10734
37.0269,-122.10731
37.02688,-122.10738
37.02691,-122.10751
37.02686,-122.10756
37.02648,-122.10755
37.02634,-122.10752
37.02622,-122.10746
