lat,long
37.00932,-122.05642
37.00936,-122.05619
37.00941,-122.05609
37.00941,-122.05603
37.00944,-122.05601
37.0094,-122.05598
37.00935,-122.05588
37.00943,-122.05572
37.00954,-122.05559
37.00956,-122.05552
37.00962,-122.05542
37.00967,-122.05535
37.00984,-122.0552
37.00988,-122.05511
37.00994,-122.05501
37.01,-122.05495
37.01017,-122.05465
37.01021,-122.05453
37.01072,-122.05396
37.01077,-122.05385
37.01081,-122.05368
37.01076,-122.05357
37.01078,-122.05344
37.01074,-122.05323
