lat,long
37.00652,-121.99949
37.0065,-121.99973
37.00653,-121.99991
37.00651,-121.99995
37.00652,-121.99999
37.00652,-122.00003
37.00654,-122.00011
37.00657,-122.00008
37.00672,-122.00005
37.00686,-121.99995
37.00693,-121.99996
37.00694,-122.0
37.00685,-122.00013
37.00683,-122.00038
37.00677,-122.00047
37.00669,-122.00053
37.00648,-122.00058
37.00643,-122.00063
37.00651,-122.00073
37.00651,-122.00078
37.00641,-122.0009
37.00642,-122.00094
37.00654,-122.00093
37.00646,-122.00101
37.00649,-122.00104
37.00629,-122.00109
37.00621,-122.00112
