lat,long
37.00428,-121.90646
37.00435,-121.90657
37.0045,-121.90677
37.00455,-121.90675
37.00472,-121.90652
37.00478,-121.90639
37.00479,-121.90632
37.0049,-121.90627
37.00495,-121.90627
37.00503,-121.90631
37.00514,-121.9064
37.00526,-121.90647
37.00531,-121.90657
37.00532,-121.9067
37.00539,-121.90687
37.0053,-121.90699
37.0053,-121.90704
37.00522,-121.90713
37.00501,-121.9073
37.00488,-121.90747
37.00482,-121.90757
37.00464,-121.90777
37.00454,-121.90784
37.00449,-121.9079
37.00444,-121.90805
37.00444,-121.90812
37.00448,-121.90824
37.00472,-121.90879
37.00473,-121.90886
37.00467,-121.90907
37.00467,-121.90914
37.00479,-121.90934
37.00485,-121.90968
37.00484,-121.90977
37.00493,-121.90996
37.00495,-121.9101
37.00494,-121.91018
37.00513,-121.91056
37.00554,-121.91116
37.0056,-121.91121
37.00575,-121.91123
37.00594,-121.91135
37.00616,-121.91132
37.0063,-121.91136
37.0064,-121.91144
37.00645,-121.91149
37.00652,-121.91158
37.00653,-121.91165
37.00647,-121.91176
37.00641,-121.91177
37.00617,-121.91174
37.00607,-121.91169
37.00595,-121.91174
37.00587,-121.91174
37.00573,-121.91167
37.00559,-121.91162
37.00534,-121.91166
37.00523,-121.91166
37.00517,-121.91164
37.00509,-121.91158
37.00486,-121.91128
37.00454,-121.91095
37.00447,-121.91091
37.00436,-121.9109
37.00433,-121.91093
37.0043,-121.91102
37.00432,-121.91121
37.00429,-121.91134
37.00434,-121.91156
37.00434,-121.91185
37.00427,-121.91217
37.00421,-121.91262
37.0042,-121.91288
37.00416,-121.91297
37.00404,-121.91314
37.0038,-121.91334
