lat,long
37.01985,-122.06984
37.01994,-122.06976
37.02007,-122.06956
37.0201,-122.06943
37.02008,-122.06927
37.02008,-122.06904
37.02031,-122.06834
37.02064,-122.06811
37.02071,-122.06789
37.02069,-122.06778
37.02093,-122.06735
37.02113,-122.06684
37.02133,-122.06653
37.02152,-122.0663
37.02171,-122.06595
37.02196,-122.06569
37.02212,-122.06559
37.02239,-122.06537
37.02264,-122.065
37.02279,-122.06488
37.02292,-122.06484
37.02325,-122.06468
37.0236,-122.0646
37.02414,-122.06463
37.02431,-122.06459
37.02459,-122.06441
37.02497,-122.0637
37.02522,-122.06336
37.0254,-122.06304
37.02575,-122.06267
37.02589,-122.06244
37.02624,-122.06207
37.0264,-122.06183
37.02654,-122.06172
37.02759,-122.0616
37.02793,-122.06154
37.0281,-122.06148
37.02844,-122.06129
37.02869,-122.0612
37.02894,-122.06117
37.02927,-122.06099
37.02947,-122.06079
37.02957,-122.06055
37.02968,-122.06037
37.02986,-122.06016
37.02993,-122.06012
37.03002,-122.05991
37.03006,-122.05987
37.03004,-122.05998
37.03008,-122.06004
37.03009,-122.0601
37.03007,-122.0602
37.03008,-122.06016
37.03018,-122.06
37.03024,-122.05986
37.03024,-122.05978
