lat,long
37.01669,-122.07798
37.01658,-122.07794
37.01648,-122.07794
37.01628,-122.07791
37.01613,-122.07794
37.01554,-122.07785
37.01533,-122.07773
37.01495,-122.07738
37.01464,-122.07731
37.01438,-122.07721
37.01386,-122.07718
37.0137,-122.0772
37.01347,-122.07713
37.01338,-122.07713
37.01318,-122.07718
37.01306,-122.07727
37.01269,-122.07789
37.01254,-122.07828
37.01242,-122.07848
37.01238,-122.07859
37.0121,-122.07891
37.01198,-122.07899
37.01176,-122.07923
37.01167,-122.07942
37.01153,-122.0799
37.01148,-122.08038
37.01125,-122.0806
37.0105,-122.08084
37.0104,-122.08086
37.01006,-122.08087
37.0097,-122.08082
37.00953,-122.08078
37.00937,-122.08076
37.00927,-122.0808
37.00909,-122.08092
37.0088,-122.081
37.00861,-122.08103
37.00829,-122.08094
37.00792,-122.08092
37.00758,-122.08086
37.00737,-122.08089
37.00708,-122.08102
37.00691,-122.08103
37.0067,-122.08096
37.00657,-122.08066
37.00648,-122.08034
37.0061,-122.07979
37.00585,-122.07923
37.00578,-122.07913
