lat,long
37.02712,-121.92688
37.02721,-121.92693
37.02727,-121.92691
37.02741,-121.92666
37.02751,-121.92658
37.02758,-121.92637
37.02766,-121.92643
37.02783,-121.92668
37.0277,-121.92696
37.02772,-121.92691
37.02775,-121.92691
37.02787,-121.92676
37.02803,-121.92663
37.02808,-121.92652
37.02815,-121.92642
37.02825,-121.92633
37.02837,-121.92611
37.02842,-121.92593
37.02845,-121.9259
37.02841,-121.92591
37.02839,-121.92589
37.02837,-121.92594
37.02836,-121.92605
37.02837,-121.9264
37.02834,-121.92675
37.02835,-121.92681
37.02841,-121.92689
37.02846,-121.92691
37.02863,-121.92677
37.02875,-121.92675
37.02882,-121.92666
37.0288,-121.92657
37.02881,-121.92645
37.02886,-121.92631
37.02888,-121.92609
37.02891,-121.926
37.02891,-121.92572
37.02893,-121.92575
37.02894,-121.92587
37.02897,-121.92596
37.02908,-121.9261
37.02928,-121.92618
37.02949,-121.9263
37.0296,-121.92632
37.02983,-121.92648
37.02999,-121.92651
37.02995,-121.92642
37.02996,-121.92616
37.02993,-121.92586
37.02986,-121.9257
37.0298,-121.92564
37.02977,-121.9256
37.02954,-121.92481
37.02956,-121.92466
37.02956,-121.92453
37.02963,-121.92416
37.02962,-121.92403
37.02957,-121.9239
37.02957,-121.92383
37.02961,-121.92374
37.02964,-121.92374
37.02978,-121.92383
37.02989,-121.92385
37.03004,-121.92384
37.03016,-121.92377
37.0302,-121.92367
37.03023,-121.92351
37.03028,-121.92336
37.03053,-121.92289
37.03063,-121.92267
37.03068,-121.92253
37.03063,-121.9222
37.0306,-121.92212
37.03052,-121.92196
37.03038,-121.9219
37.03032,-121.92178
37.03026,-121.9217
37.03023,-121.92151
37.03027,-121.92137
37.03034,-121.92134
37.03051,-121.92119
37.03065,-121.92116
37.03082,-121.92117
37.03096,-121.92116
37.03107,-121.92123
37.03118,-121.92125
37.0313,-121.92111
37.03167,-121.92083
37.03172,-121.92077
37.03178,-121.92063
37.03182,-121.92034
37.03185,-121.92023
37.03184,-121.92013
37.03175,-121.9199
37.03175,-121.91967
37.03173,-121.91942
37.03164,-121.91919
37.03162,-121.91909
37.0317,-121.91891
37.03171,-121.91881
37.0318,-121.91866
37.03182,-121.91858
37.03189,-121.91851
37.032,-121.91851
37.03203,-121.9185
37.03206,-121.91846
37.03213,-121.91842
37.03215,-121.91838
37.03217,-121.91832
37.03215,-121.91806
37.03216,-121.91803
37.03222,-121.91812
37.03224,-121.91822
37.03231,-121.91832
37.03231,-121.91836
37.03228,-121.91858
37.03222,-121.9186
37.03214,-121.9187
37.03213,-121.91876
37.03217,-121.91902
37.03219,-121.91912
37.03235,-121.91937
37.03248,-121.91975
37.03257,-121.9199
37.03266,-121.91991
37.03271,-121.91989
37.03278,-121.91981
37.03298,-121.91968
37.033,-121.91965
37.033,-121.91952
