lat,long
37.00615,-122.05442
37.0062,-122.0544
37.00629,-122.05432
37.00652,-122.05396
37.00656,-122.0538
37.00661,-122.05378
37.00678,-122.05356
37.00694,-122.05345
37.00708,-122.05338
37.00718,-122.0529
37.00725,-122.05283
37.00745,-122.05254
37.00753,-122.05238
37.00768,-122.05201
37.00766,-122.05161
37.00764,-122.05154
37.00768,-122.05154
37.00768,-122.0515
37.00788,-122.05144
37.008,-122.05132
37.00795,-122.05122
37.00796,-122.05118
37.00801,-122.05106
37.00814,-122.05095
37.00818,-122.05086
37.00817,-122.05076
37.00808,-122.05055
37.00804,-122.05023
37.00804,-122.04995
37.00797,-122.04983
37.00794,-122.04972
37.00792,-122.04969
37.00794,-122.04964
37.00792,-122.04956
37.00787,-122.04947
37.00782,-122.04944
37.00779,-122.04939
37.00763,-122.04932
37.00754,-122.04922
37.00756,-122.04914
37.00768,-122.04909
37.00778,-122.04901
37.00791,-122.04896
37.00791,-122.04902
