lat,long
37.05856,-121.91956
37.05862,-121.91951
37.05881,-121.91942
37.05891,-121.91934
37.0591,-121.91923
37.05943,-121.91887
37.0595,-121.91876
37.05952,-121.91866
37.05956,-121.91861
37.0596,-121.91829
37.05989,-121.91796
37.06012,-121.91783
37.06043,-121.91754
37.06065,-121.91741
37.06073,-121.91724
37.06076,-121.91701
37.06098,-121.91661
37.06099,-121.91639
37.06109,-121.91621
37.06112,-121.91619
37.06124,-121.9162
37.06137,-121.9161
37.06155,-121.91592
37.06158,-121.91587
37.06157,-121.91579
37.06171,-121.91532
37.06175,-121.91522
37.06193,-121.91493
37.06203,-121.9148
37.06205,-121.91433
37.0621,-121.91424
37.06229,-121.91408
37.06237,-121.91382
37.06256,-121.9136
37.06265,-121.91344
37.06262,-121.91313
37.0626,-121.9131
37.06255,-121.91308
37.06248,-121.91275
37.06237,-121.9125
37.06232,-121.91243
37.0623,-121.91235
37.06206,-121.91224
37.06191,-121.91206
37.06152,-121.91176
37.06151,-121.91173
37.06152,-121.91152
37.06149,-121.91143
37.06145,-121.91134
37.06147,-121.91114
37.06158,-121.91076
37.06167,-121.91054
37.06185,-121.91017
37.06193,-121.91008
37.06203,-121.91004
37.06222,-121.91
37.06237,-121.90994
37.06253,-121.90996
37.06266,-121.90983
37.06274,-121.90965
37.06275,-121.90957
37.06268,-121.9092
37.06257,-121.90888
37.06253,-121.90883
37.06238,-121.90873
37.06221,-121.9085
37.06204,-121.90838
37.06179,-121.90798
37.0617,-121.90787
37.06161,-121.90783
37.06144,-121.90779
37.06096,-121.90759
37.06085,-121.90757
37.06068,-121.90756
37.06036,-121.90765
37.06034,-121.90769
37.06034,-121.90773
37.06038,-121.9079
37.06044,-121.90805
37.06042,-121.90832
37.06034,-121.90852
37.06017,-121.90873
37.06008,-121.90879
37.05999,-121.9088
37.05989,-121.90877
37.05974,-121.90875
37.05954,-121.90869
37.05944,-121.90863
37.05931,-121.90845
37.05921,-121.90839
37.05907,-121.9082
37.05902,-121.90812
37.05898,-121.908
37.05899,-121.90779
37.05903,-121.90758
37.05911,-121.90741
37.05916,-121.90722
37.05925,-121.90699
37.05927,-121.90678
37.05926,-121.90668
37.05917,-121.90659
37.05909,-121.90642
37.05905,-121.90639
37.05893,-121.90637
37.0587,-121.90624
37.05867,-121.90621
37.05859,-121.9061
37.05852,-121.9059
37.05841,-121.9058
37.05832,-121.90566
37.05829,-121.9055
37.05821,-121.90521
37.05817,-121.90512
37.05811,-121.90502
37.05804,-121.90499
37.05793,-121.90484
37.05797,-121.90478
37.05805,-121.90475
37.05812,-121.90468
37.05818,-121.90467
37.05832,-121.9047
37.05836,-121.90467
37.05838,-121.90463
37.05835,-121.90453
37.05834,-121.90436
37.05832,-121.90432
37.05811,-121.9042
37.05808,-121.90416
37.05805,-121.90402
37.05793,-121.90389
37.05789,-121.90377
37.05774,-121.90363
37.05752,-121.90353
37.05742,-121.9035
37.05735,-121.9035
37.05732,-121.90351
37.0572,-121.90361
37.0571,-121.90363
37.0569,-121.90355
37.05683,-121.90349
37.05677,-121.90337
37.05672,-121.9031
37.05677,-121.90283
37.05674,-121.90256
37.0567,-121.90244
37.0566,-121.90225
37.0565,-121.90197
37.0564,-121.90187
37.05638,-121.90182
37.05633,-121.90177
37.05631,-121.90168
37.05625,-121.90159
37.05611,-121.90154
37.05604,-121.90148
37.05598,-121.90138
37.05584,-121.90124
37.05578,-121.90119
37.05574,-121.90112
37.05565,-121.90106
37.05563,-121.90102
37.05552,-121.90096
37.05544,-121.90085
37.05521,-121.90069
37.05507,-121.90047
37.05501,-121.90019
37.05493,-121.90012
37.05482,-121.90008
37.0548,-121.90005
37.05479,-121.89998
37.05479,-121.89961
37.05475,-121.89911
37.05475,-121.89884
37.05466,-121.89851
37.05463,-121.89842
37.05456,-121.8983
37.05439,-121.89817
37.05435,-121.8981
37.05405,-121.8975
37.05392,-121.89733
37.05384,-121.89721
37.05369,-121.89686
37.05368,-121.89648
37.0536,-121.89592
37.05354,-121.8956
37.05354,-121.89513
37.05358,-121.8949
37.05358,-121.89481
37.0535,-121.89446
37.05346,-121.89439
37.05343,-121.89438
