lat,long
37.0829,-121.85402
37.08306,-121.85421
37.08312,-121.85433
37.0832,-121.85452
37.08323,-121.85463
37.08324,-121.85484
37.0834,-121.85545
37.0834,-121.85562
37.08343,-121.85586
37.0834,-121.85608
37.08342,-121.85613
37.08336,-121.85632
37.08352,-121.85661
37.08355,-121.85675
37.08361,-121.85691
37.08362,-121.85705
37.08358,-121.8572
37.08358,-121.85733
37.0837,-121.85768
37.08374,-121.85791
37.08373,-121.85814
37.08366,-121.85833
37.08364,-121.85845
37.08364,-121.85853
37.08367,-121.85859
37.0837,-121.85864
37.08375,-121.85877
37.08379,-121.85881
37.08385,-121.85913
37.08386,-121.85936
37.08378,-121.85996
37.08379,-121.86006
37.08385,-121.8603
37.08397,-121.86049
37.08407,-121.86055
37.08419,-121.86074
37.08427,-121.8612
37.08431,-121.86122
37.08432,-121.86136
37.08446,-121.8619
37.08444,-121.86198
37.08445,-121.86206
37.0844,-121.86236
37.08439,-121.86261
37.08443,-121.86265
37.08448,-121.86283
37.08455,-121.86283
37.08458,-121.86285
37.08458,-121.86315
37.08461,-121.86328
37.08459,-121.86332
37.08456,-121.86362
37.08459,-121.86378
37.08462,-121.86385
37.0847,-121.86389
37.08475,-121.86394
37.08492,-121.86401
37.08497,-121.86421
37.08501,-121.86429
37.08502,-121.86448
37.085,-121.86471
37.085,-121.86496
37.08529,-121.86533
37.08533,-121.86542
37.0854,-121.86574
37.08548,-121.86595
37.08552,-121.86615
37.08555,-121.86638
37.08556,-121.86673
37.08558,-121.86684
37.08575,-121.86719
37.08585,-121.86754
37.08591,-121.86811
37.08598,-121.86849
37.08599,-121.86862
37.08599,-121.86886
37.08592,-121.8691
37.08588,-121.86937
37.0859,-121.86981
37.086,-121.86993
37.08615,-121.87025
37.08621,-121.87035
37.08634,-121.87039
37.08642,-121.87048
37.08648,-121.87061
37.08655,-121.8707
37.08656,-121.87086
37.08666,-121.87106
37.08666,-121.87117
37.08661,-121.87141
37.08659,-121.87167
37.08666,-121.87179
37.08669,-121.8719
37.08675,-121.87201
37.08682,-121.8721
37.08693,-121.87215
37.08699,-121.87225
37.08711,-121.87261
37.08729,-121.87342
37.08743,-121.87364
37.08752,-121.87387
37.08759,-121.87415
37.0877,-121.8744
37.08786,-121.87475
37.088,-121.87497
37.08809,-121.87516
37.08815,-121.87523
37.08814,-121.87533
37.08809,-121.87555
37.08813,-121.87563
37.08808,-121.87609
37.08803,-121.87638
37.08796,-121.87657
37.08794,-121.8767
37.088,-121.8772
37.08805,-121.8773
37.08808,-121.87762
37.08805,-121.87783
37.08792,-121.87819
37.08793,-121.87882
37.08798,-121.87911
37.08802,-121.87918
37.08811,-121.87915
37.08815,-121.87919
37.08821,-121.8792
37.08826,-121.87924
37.08834,-121.87925
37.08838,-121.87938
37.08838,-121.87958
37.0884,-121.8797
37.08849,-121.88012
37.08865,-121.88044
37.08873,-121.88051
37.08878,-121.8806
37.08882,-121.88071
37.08897,-121.88099
37.08901,-121.88109
37.08906,-121.88133
37.0892,-121.8817
37.08974,-121.88258
37.08977,-121.88269
37.08976,-121.8828
37.0897,-121.883
37.08961,-121.88319
37.08955,-121.88325
37.08945,-121.88327
37.08938,-121.88331
37.08919,-121.88335
37.08896,-121.88343
37.08895,-121.88352
37.08897,-121.88359
37.08895,-121.88367
37.08899,-121.88372
37.08902,-121.88407
37.08907,-121.88417
37.08909,-121.88429
37.08916,-121.88451
37.08919,-121.88475
37.08927,-121.88507
37.08928,-121.88517
37.08921,-121.88546
37.08922,-121.88564
37.08927,-121.8857
37.08935,-121.88589
37.08946,-121.88605
37.08964,-121.88625
37.08976,-121.88647
37.08976,-121.88658
37.08979,-121.88678
37.08976,-121.88727
37.08979,-121.88736
37.08983,-121.88754
37.08992,-121.88775
37.09007,-121.88774
37.09023,-121.8877
37.09034,-121.88773
37.09047,-121.88784
37.09094,-121.88813
37.09098,-121.88823
37.09096,-121.88834
37.09097,-121.88845
37.09094,-121.88861
37.09088,-121.88872
37.09077,-121.88885
37.09071,-121.8889
37.09065,-121.88892
37.0906,-121.88896
37.09058,-121.88901
37.09048,-121.88909
37.09023,-121.8892
37.09019,-121.88914
37.09003,-121.88905
