lat,long
37.05578,-121.87976
37.05569,-121.87978
37.05564,-121.87983
37.05551,-121.87984
37.05547,-121.87987
37.0553,-121.88015
37.05516,-121.8803
37.05506,-121.88035
37.05497,-121.88037
37.05475,-121.88033
37.05434,-121.88018
37.0544,-121.88023
37.05434,-121.88017
37.0543,-121.88018
37.05417,-121.88007
37.05414,-121.88007
37.05402,-121.87998
37.05399,-121.87998
37.0539,-121.88003
37.05387,-121.88004
37.0537,-121.88002
37.05357,-121.88003
37.05326,-121.88023
37.05321,-121.88023
37.05308,-121.88013
37.05305,-121.88014
37.05301,-121.88023
37.05294,-121.88058
37.05292,-121.88065
37.05288,-121.88072
37.05279,-121.88082
37.05269,-121.88088
37.05255,-121.88083
37.05238,-121.88085
37.0523,-121.88084
37.05218,-121.88089
37.05208,-121.88089
37.05196,-121.88082
37.05183,-121.88063
37.05178,-121.88059
37.05171,-121.88058
37.05159,-121.88059
37.05147,-121.88067
37.05149,-121.88064
37.05141,-121.88074
37.05125,-121.88078
37.0512,-121.88082
37.05111,-121.88085
37.05104,-121.88084
37.05092,-121.88088
37.0507,-121.88083
37.05073,-121.88082
37.05075,-121.88085
37.05071,-121.88085
37.05054,-121.88062
37.05017,-121.88029
37.05015,-121.88024
37.05012,-121.88013
37.05008,-121.88007
37.04998,-121.88005
37.04977,-121.88005
37.04957,-121.88003
37.04942,-121.88005
37.04931,-121.88001
37.04922,-121.87994
37.0492,-121.87989
37.04911,-121.8796
37.04908,-121.87957
37.04904,-121.87958
37.049,-121.87962
37.04881,-121.87985
37.04878,-121.87984
37.04869,-121.87973
37.04855,-121.87967
37.04831,-121.87905
37.0483,-121.87889
37.04833,-121.87875
37.04822,-121.87888
37.04818,-121.87892
37.04812,-121.87893
37.04805,-121.87892
37.04799,-121.87888
37.0479,-121.87875
37.04785,-121.87871
37.04774,-121.87868
37.0476,-121.87867
37.0475,-121.87873
37.0473,-121.87875
37.04719,-121.8787
37.04704,-121.87854
37.04692,-121.87846
37.04682,-121.87838
