lat,long
37.00185,-122.05163
37.00189,-122.05146
37.00198,-122.05143
37.0019,-122.05134
37.0017,-122.05133
37.00157,-122.05138
37.00145,-122.05131
37.00164,-122.05101
37.0017,-122.0507
37.00179,-122.05059
37.00198,-122.05046
37.00235,-122.05065
37.00252,-122.05065
37.00278,-122.0506
37.00313,-122.05062
37.00337,-122.05069
37.0036,-122.05086
37.00399,-122.05042
37.00423,-122.05035
37.00455,-122.0506
37.00462,-122.05059
37.00471,-122.05051
37.00478,-122.0504
37.00489,-122.05028
37.00509,-122.05014
37.00527,-122.04972
37.00546,-122.04966
37.00579,-122.04976
37.00608,-122.0498
37.00617,-122.04976
37.00597,-122.04951
37.00584,-122.04925
37.00582,-122.04894
37.00627,-122.04876
37.00586,-122.0484
37.00582,-122.04839
37.00595,-122.04825
37.00613,-122.04811
37.00653,-122.04796
37.00678,-122.04796
37.00684,-122.04792
37.00626,-122.04749
37.00612,-122.04731
37.00603,-122.0471
37.00606,-122.04688
