lat,long
37.00661,-122.04646
37.00656,-122.04646
37.00647,-122.04653
37.00648,-122.04655
37.00648,-122.04652
37.00642,-122.04656
37.00636,-122.04669
37.0063,-122.04675
37.00621,-122.0468
37.00611,-122.04691
37.00611,-122.04694
37.00614,-122.04696
37.00614,-122.04707
37.00617,-122.04712
37.0062,-122.04713
37.0062,-122.04725
37.00621,-122.0473
37.00632,-122.04739
37.00639,-122.04754
37.00659,-122.04773
37.00667,-122.04784
37.00656,-122.04793
37.00649,-122.04803
37.00643,-122.04803
37.00626,-122.04811
37.00603,-122.04835
37.00598,-122.04833
37.00602,-122.0483
37.00597,-122.04831
37.00598,-122.04836
37.00607,-122.04848
37.0061,-122.04861
37.00618,-122.04865
37.00605,-122.04882
37.006,-122.04886
37.00595,-122.04897
37.00594,-122.04902
37.00597,-122.04922
37.00601,-122.04932
37.00602,-122.04947
37.00607,-122.04956
37.00602,-122.04964
37.00593,-122.04968
37.00578,-122.04973
37.00571,-122.04978
37.00562,-122.04974
37.00547,-122.04971
37.00542,-122.04977
37.00535,-122.04994
37.00529,-122.05004
37.00504,-122.05018
37.00501,-122.05026
37.00494,-122.05033
37.00476,-122.05043
37.00468,-122.05052
37.0046,-122.05056
37.00447,-122.05048
37.00439,-122.05046
37.00434,-122.05044
37.00421,-122.05045
37.00389,-122.05063
37.00379,-122.05081
37.00366,-122.05086
37.00361,-122.05093
37.00356,-122.05095
37.00342,-122.05092
37.00332,-122.05085
37.00321,-122.05083
37.00307,-122.05078
37.00301,-122.05074
37.00291,-122.05064
37.00284,-122.05064
37.00269,-122.05073
37.0026,-122.05074
37.0025,-122.05071
37.00236,-122.05062
37.00221,-122.05058
37.00198,-122.05047
37.00193,-122.05049
37.00192,-122.05052
37.00187,-122.05056
37.00174,-122.05059
37.00167,-122.05062
37.00158,-122.05069
37.00146,-122.05086
37.00143,-122.05115
37.00145,-122.05126
37.00153,-122.05129
37.00159,-122.05122
37.00164,-122.05121
37.00179,-122.0513
37.00188,-122.05134
37.00192,-122.0514
37.00192,-122.0515
37.00207,-122.05169
37.00217,-122.05178
