lat,long
37.00654,-121.9155
37.00662,-121.91541
37.00683,-121.91531
37.007,-121.91525
37.00708,-121.91516
37.00718,-121.91509
37.00726,-121.91501
37.00738,-121.91494
37.00749,-121.91483
37.00766,-121.91452
37.00789,-121.91424
37.00807,-121.91392
37.00816,-121.91371
37.00818,-121.91344
37.00804,-121.91307
37.00797,-121.91275
37.00794,-121.91242
37.00779,-121.91183
37.00774,-121.91173
37.00759,-121.91154
37.00756,-121.91138
37.00739,-121.91102
37.00727,-121.91083
37.00715,-121.91068
37.00704,-121.91061
37.00689,-121.91048
37.0068,-121.91046
37.00669,-121.91046
37.00662,-121.91043
37.00659,-121.91038
37.00661,-121.91032
37.00659,-121.91028
37.00636,-121.91002
37.00623,-121.90991
37.00614,-121.90992
37.00608,-121.90995
37.00605,-121.90994
37.00607,-121.90992
37.00607,-121.90994
37.0061,-121.90987
37.00608,-121.9098
37.006,-121.9097
37.00579,-121.90952
