lat,long
37.00878,-122.05865
37.00879,-122.05868
37.00877,-122.05866
37.00877,-122.05869
37.00865,-122.05861
37.0086,-122.05855
37.00856,-122.05846
37.00859,-122.05844
37.00874,-122.05849
37.00876,-122.05846
37.00885,-122.05845
37.00887,-122.05848
37.00886,-122.05845
37.00881,-122.05836
37.00876,-122.05835
37.00874,-122.05829
37.00869,-122.0583
37.00869,-122.05825
37.00862,-122.05819
37.00852,-122.05817
37.00854,-122.05817
37.00851,-122.05816
37.00852,-122.05811
37.00845,-122.05792
37.00823,-122.05772
37.00827,-122.05775
37.00823,-122.05765
37.00816,-122.05753
37.00817,-122.05747
37.00812,-122.05738
37.00803,-122.05731
37.00805,-122.05716
37.00804,-122.05706
37.00813,-122.05697
37.00821,-122.05698
37.00831,-122.05696
37.00837,-122.05692
37.00841,-122.05698
37.00844,-122.05716
37.00846,-122.05717
37.00845,-122.05703
37.00851,-122.05692
37.00846,-122.05684
37.00851,-122.05677
37.00853,-122.05672
37.0086,-122.05664
37.00875,-122.05658
37.00878,-122.0566
37.00883,-122.05648
37.00884,-122.05637
37.0091,-122.05616
37.00928,-122.05597
37.00927,-122.05611
37.0093,-122.05613
