lat,long
37.0088,-122.05835
37.00875,-122.05831
37.00867,-122.05829
37.00866,-122.05826
37.00862,-122.05824
37.00857,-122.05823
37.00853,-122.05817
37.00844,-122.05815
37.00837,-122.05807
37.00836,-122.058
37.00838,-122.05793
37.00831,-122.05777
37.00827,-122.05775
37.00825,-122.0577
37.00817,-122.05764
37.00819,-122.0576
37.00813,-122.05751
37.00807,-122.05729
37.00801,-122.05724
37.00802,-122.05717
37.00798,-122.05716
37.00795,-122.05709
37.00797,-122.05701
37.00793,-122.05685
37.00809,-122.05671
37.0081,-122.05661
37.00828,-122.05657
37.00833,-122.05656
37.00836,-122.05659
37.00837,-122.05665
37.00841,-122.05668
37.00855,-122.05657
37.00858,-122.05635
37.00864,-122.05622
37.00871,-122.05604
37.00871,-122.05598
37.00864,-122.05575
37.00867,-122.05551
37.00864,-122.05533
37.00861,-122.05525
37.00864,-122.0552
37.00859,-122.05496
37.00869,-122.05479
37.00868,-122.05468
37.00879,-122.05413
37.00901,-122.05364
37.00903,-122.05354
37.00908,-122.05345
37.00915,-122.0534
37.00918,-122.0534
37.00923,-122.05338
37.00936,-122.05324
37.0094,-122.05323
37.00939,-122.05329
37.00945,-122.05334
37.00951,-122.05328
37.00966,-122.0532
37.00972,-122.05312
37.00979,-122.0531
37.00991,-122.053
37.00999,-122.05288
37.01008,-122.05253
37.01014,-122.05249
37.01023,-122.05271
37.01031,-122.05271
