lat,long
37.07688,-121.86438
37.07703,-121.86445
37.07736,-121.86471
37.07757,-121.86502
37.07786,-121.86529
37.07808,-121.86561
37.07829,-121.86581
37.0788,-121.86597
37.07895,-121.86625
37.07898,-121.86651
37.07915,-121.86697
37.07929,-121.86741
37.07952,-121.86774
37.07968,-121.86803
37.07968,-121.86851
37.07994,-121.86868
37.08019,-121.86913
37.08023,-121.8693
37.08024,-121.86959
37.08017,-121.86986
37.08014,-121.8701
37.08017,-121.87025
37.08002,-121.87085
37.08,-121.87128
37.07995,-121.87155
37.07966,-121.87182
37.07938,-121.87199
37.07938,-121.87223
37.07958,-121.8724
37.07961,-121.8725
