lat,long
37.00361,-122.05862
37.00363,-122.05859
37.00368,-122.05855
37.00367,-122.05853
37.00373,-122.05842
37.00374,-122.05825
37.00379,-122.05814
37.0038,-122.05806
37.00387,-122.05793
37.00393,-122.05788
37.00396,-122.05775
37.00415,-122.05743
37.00416,-122.05727
37.00415,-122.05698
37.00418,-122.05678
37.00422,-122.05663
37.00427,-122.05658
37.00435,-122.05638
37.00444,-122.05626
37.00463,-122.0561
37.00471,-122.05609
37.00482,-122.05603
37.0049,-122.05601
37.00501,-122.05607
37.00511,-122.0561
37.00514,-122.05614
37.00514,-122.05618
37.00527,-122.05623
37.00531,-122.05624
37.00532,-122.05622
37.00533,-122.05624
37.00541,-122.05626
37.00552,-122.05622
37.00561,-122.05637
