lat,long
37.07478,-121.90921
37.07484,-121.90922
37.07487,-121.90919
37.07497,-121.90917
37.07522,-121.90922
37.07539,-121.9092
37.07543,-121.90923
37.07577,-121.90937
37.07581,-121.90945
37.07596,-121.90958
37.0761,-121.90977
37.07615,-121.90979
37.07625,-121.90992
37.07624,-121.90986
37.07628,-121.90989
37.07631,-121.90994
37.07636,-121.91
37.07649,-121.91009
37.07649,-121.91014
37.07652,-121.9102
37.07674,-121.91042
37.07694,-121.91065
37.07716,-121.91073
37.07721,-121.91077
37.07732,-121.91089
37.07735,-121.911
37.07741,-121.91103
37.07752,-121.91112
37.07754,-121.9112
37.07757,-121.91123
37.07769,-121.91125
37.0779,-121.91144
37.07795,-121.91153
37.07809,-121.91163
37.07817,-121.91188
37.07823,-121.91193
37.07833,-121.91197
37.07836,-121.91203
37.07854,-121.9122
37.07858,-121.91221
37.07866,-121.91218
37.07887,-121.91239
37.0789,-121.91246
37.07907,-121.91267
37.07905,-121.91278
37.07906,-121.91284
37.07915,-121.91298
37.07918,-121.9131
37.07915,-121.91318
37.0791,-121.91319
37.07907,-121.91318
37.07905,-121.91315
37.07904,-121.91316
37.07911,-121.91333
37.07912,-121.9134
37.07918,-121.91348
37.07932,-121.91369
37.07937,-121.91386
37.0794,-121.91389
37.07966,-121.91434
37.07972,-121.91438
37.07984,-121.91453
37.07993,-121.91456
37.07999,-121.91463
37.08,-121.91478
37.07998,-121.91481
37.07996,-121.91479
37.0799,-121.91485
37.07991,-121.91491
37.07997,-121.91501
37.08005,-121.91507
37.08011,-121.9151
37.08026,-121.91515
37.08029,-121.91515
37.08032,-121.91513
37.08042,-121.91514
37.08046,-121.91515
37.0805,-121.91514
37.08054,-121.91506
37.08061,-121.91506
37.08068,-121.91499
37.08072,-121.91498
37.08084,-121.91483
37.08089,-121.91459
37.08089,-121.91431
37.08087,-121.91427
37.08089,-121.91416
37.08091,-121.91408
37.08103,-121.91395
37.08103,-121.91371
37.08105,-121.91365
37.08114,-121.91359
37.08119,-121.91352
37.08129,-121.91345
37.08137,-121.91344
37.08154,-121.91336
37.08161,-121.91329
37.08167,-121.91326
37.08177,-121.91324
37.08184,-121.9132
37.08189,-121.9131
37.08194,-121.91313
37.08207,-121.91296
37.08214,-121.91294
37.08218,-121.9129
37.08226,-121.9128
37.08233,-121.91247
37.08232,-121.91225
37.08236,-121.9119
37.08233,-121.91168
37.08219,-121.91151
37.08205,-121.91147
37.08203,-121.91149
37.08195,-121.91146
37.08192,-121.91135
37.08188,-121.91129
37.08186,-121.91122
37.08177,-121.9111
37.08174,-121.91097
37.08171,-121.91076
37.08169,-121.91073
37.08168,-121.91068
37.08171,-121.91059
37.08164,-121.91036
37.08167,-121.91011
37.08171,-121.91007
37.08185,-121.90988
37.08183,-121.90973
37.08188,-121.90966
37.08197,-121.90958
37.08202,-121.9095
37.08207,-121.90946
37.0821,-121.90931
37.08229,-121.90918
