lat,long
37.02361,-122.07422
37.02346,-122.07434
37.02327,-122.0744
37.02312,-122.07437
37.02295,-122.07429
37.02262,-122.0742
37.02227,-122.07402
37.02206,-122.0741
37.02198,-122.07418
37.02187,-122.07425
37.02164,-122.0743
37.02152,-122.0743
37.02143,-122.07432
37.02129,-122.07442
37.0208,-122.07498
37.02074,-122.07504
37.02055,-122.07513
37.02043,-122.07517
37.02026,-122.07518
37.02004,-122.07506
37.01975,-122.07494
37.01968,-122.07492
37.01957,-122.07496
37.01946,-122.07509
37.01907,-122.07579
37.01904,-122.07595
37.01903,-122.07617
37.01897,-122.07655
37.0189,-122.07691
37.01878,-122.07728
37.01866,-122.07746
37.01851,-122.0776
37.0181,-122.07788
37.01804,-122.07796
37.018,-122.07806
37.01797,-122.07828
37.018,-122.07873
37.01796,-122.07903
