lat,long
37.04159,-121.88653
37.04155,-121.8865
37.04143,-121.88634
37.04128,-121.88626
37.04118,-121.88617
37.04108,-121.88615
37.04104,-121.88616
37.041,-121.88617
37.04088,-121.88629
37.04084,-121.88629
37.0408,-121.88626
37.04078,-121.88615
37.04076,-121.88612
37.04063,-121.88616
37.04059,-121.88615
37.04057,-121.88612
37.04053,-121.88597
37.0405,-121.88579
37.0406,-121.88567
37.04064,-121.8856
37.04064,-121.88549
37.0406,-121.88539
37.0406,-121.88529
37.04063,-121.88532
37.04067,-121.88529
37.0407,-121.88513
37.04079,-121.88502
37.0408,-121.8848
37.04078,-121.88475
37.04075,-121.88474
37.0406,-121.88476
37.04052,-121.88484
37.04043,-121.88484
37.04041,-121.88486
37.04034,-121.88496
37.0403,-121.88497
37.0402,-121.88491
37.04015,-121.88483
37.04014,-121.88477
37.04017,-121.88451
37.04025,-121.88438
37.0403,-121.88418
37.04027,-121.88403
37.04028,-121.88399
37.04036,-121.884
37.04043,-121.88397
37.04046,-121.88389
37.04047,-121.88381
37.04045,-121.88376
37.04027,-121.88355
37.04017,-121.88338
37.03998,-121.88322
37.03986,-121.88276
37.0398,-121.88272
37.03966,-121.8827
37.03963,-121.88268
37.0395,-121.88269
37.03942,-121.88261
37.03929,-121.8824
37.03927,-121.88232
37.03927,-121.88219
37.03923,-121.88211
37.03917,-121.88205
37.03917,-121.882
37.03923,-121.88182
37.03935,-121.88164
37.03936,-121.88158
37.03932,-121.88149
37.03923,-121.88142
37.03915,-121.88105
37.03916,-121.88084
37.03914,-121.88073
37.0391,-121.88067
37.03901,-121.88046
37.03893,-121.88024
37.03893,-121.88017
37.0389,-121.88007
37.03875,-121.87982
37.03869,-121.87956
37.0387,-121.87937
37.03863,-121.87929
37.03863,-121.87924
37.0386,-121.8791
37.03855,-121.87906
37.03852,-121.87899
37.03847,-121.87892
37.03843,-121.87868
37.03828,-121.87836
37.03831,-121.87825
37.03822,-121.87813
37.03821,-121.87809
37.03803,-121.87791
37.03798,-121.87782
37.03795,-121.87781
37.03788,-121.87783
37.03763,-121.87786
37.03751,-121.87782
37.03741,-121.87785
37.03734,-121.87784
37.03729,-121.87776
37.03733,-121.87761
37.03733,-121.87757
37.0373,-121.87754
37.03738,-121.87742
