lat,long
37.03553,-121.89704
37.03543,-121.89692
37.03538,-121.89682
37.03531,-121.8968
37.0353,-121.89682
37.03524,-121.89685
37.03512,-121.89684
37.03506,-121.89687
37.03503,-121.89685
37.03497,-121.89671
37.03486,-121.8967
37.03468,-121.89646
37.03465,-121.89644
37.03453,-121.8964
37.03444,-121.89643
37.0343,-121.89638
37.03409,-121.8964
37.03396,-121.89633
37.03392,-121.89638
37.03386,-121.8964
37.03372,-121.89651
37.03362,-121.89655
37.0335,-121.89655
37.03342,-121.89641
37.03328,-121.89626
37.03326,-121.89627
37.03321,-121.89623
37.03315,-121.89594
37.03307,-121.89595
37.03306,-121.89594
37.03291,-121.89576
