lat,long
37.03544,-121.89696
37.03542,-121.89695
37.03538,-121.89688
37.03533,-121.89685
37.03525,-121.89686
37.03517,-121.89693
37.0351,-121.89695
37.03507,-121.89697
37.03504,-121.89701
37.03497,-121.89723
37.03493,-121.8973
37.03488,-121.89745
37.03492,-121.89744
37.03489,-121.89762
37.0349,-121.8977
37.0348,-121.89779
37.03473,-121.89788
37.03462,-121.89817
37.03464,-121.89814
37.03461,-121.89812
37.03455,-121.89815
37.03452,-121.89819
37.0345,-121.89828
37.03447,-121.89869
37.03452,-121.89886
37.03451,-121.89892
37.03442,-121.89911
37.03443,-121.89925
37.0342,-121.89969
37.03418,-121.89983
37.03408,-121.90003
37.03405,-121.90001
37.03391,-121.90001
37.0338,-121.89999
37.03368,-121.90004
37.03359,-121.90012
37.03355,-121.90013
37.03344,-121.90005
37.03338,-121.90004
37.03326,-121.90007
37.03307,-121.90006
37.03295,-121.90014
37.03292,-121.90014
37.03282,-121.9002
37.0328,-121.90016
37.03271,-121.90018
37.03269,-121.90021
37.03278,-121.90018
37.0326,-121.90025
37.03254,-121.90032
37.03247,-121.90029
37.03235,-121.9003
37.03224,-121.90036
37.03219,-121.90037
37.03215,-121.90035
37.03209,-121.90028
37.03204,-121.90017
37.03198,-121.90013
37.03194,-121.90014
37.03188,-121.90018
37.03184,-121.90023
37.03177,-121.90043
37.03175,-121.90058
37.03177,-121.90067
37.03179,-121.90069
37.0317,-121.90064
37.03156,-121.90059
37.03152,-121.90036
37.03149,-121.90032
37.03137,-121.90024
37.0313,-121.90015
37.03129,-121.90011
37.03117,-121.90009
37.03111,-121.90013
37.03102,-121.90026
37.03098,-121.90042
37.03097,-121.90052
37.03093,-121.90061
37.03093,-121.90071
37.03086,-121.90076
37.03083,-121.90086
37.03082,-121.90081
37.03075,-121.90071
37.0307,-121.90068
37.03062,-121.90064
37.03056,-121.90064
37.03045,-121.90066
37.03043,-121.90063
37.03044,-121.90059
37.03043,-121.9004
37.03047,-121.9003
37.03046,-121.90027
37.03038,-121.89984
37.03041,-121.89977
37.03053,-121.89967
37.03059,-121.89959
37.03059,-121.89949
37.03055,-121.89915
37.03057,-121.8991
37.03067,-121.89898
37.03076,-121.89893
37.03082,-121.89892
37.03085,-121.89889
37.03089,-121.89889
37.03093,-121.89886
37.03101,-121.89869
37.0311,-121.89857
37.03113,-121.89845
37.03112,-121.8983
37.03113,-121.89815
37.0312,-121.89803
37.03123,-121.89795
37.03123,-121.89791
37.0312,-121.8978
37.03107,-121.89757
37.03107,-121.89749
37.0311,-121.89737
37.03106,-121.8972
37.03105,-121.89707
37.03103,-121.89702
37.03097,-121.89698
37.03094,-121.89694
37.03097,-121.89679
37.03099,-121.89677
37.03107,-121.89673
37.0311,-121.89665
37.0311,-121.89649
37.03107,-121.89645
37.03104,-121.89645
37.03101,-121.89639
