lat,long
37.00655,-122.0537
37.00665,-122.05363
37.00668,-122.05358
37.00674,-122.05354
37.00682,-122.05339
37.00691,-122.05327
37.007,-122.05322
37.00706,-122.05322
37.00708,-122.05313
37.00712,-122.0531
37.00718,-122.053
37.00719,-122.05294
37.00725,-122.0528
37.00717,-122.05259
37.00723,-122.05243
37.00723,-122.05222
37.00725,-122.05217
37.00724,-122.05211
37.0073,-122.0518
37.00732,-122.0514
37.00735,-122.05128
37.00739,-122.0512
37.0076,-122.05108
37.00768,-122.05097
37.00774,-122.05086
37.00773,-122.05097
37.00776,-122.05099
37.00776,-122.05101
37.00774,-122.05099
37.00773,-122.05094
37.00776,-122.05092
37.00778,-122.05087
37.0078,-122.05078
37.00778,-122.05076
37.00779,-122.05073
37.00787,-122.05057
37.00788,-122.05052
37.00785,-122.05021
37.00787,-122.05017
37.00796,-122.05019
37.00794,-122.0501
37.00787,-122.05003
37.00784,-122.04995
37.00767,-122.0497
37.00755,-122.04959
37.0075,-122.04947
37.00747,-122.04926
37.00753,-122.04915
37.00751,-122.04904
37.00755,-122.04893
